去重组ID,去重状态,去重依据,来源表,来源行,Tier,展品名称,馆藏号,官方页面
G0001,主行,作者+时期同组·haiku 判同一件（Q46408）：同一件作品的中英两条记录，题名为Deer Skull with Pedernal，年代和作者均相同,A,9,A,Georgia O'Keeffe《Deer Skull with Pedernal》带佩德纳尔山的鹿头骨（布面油画）,,https://www.mfa.org/programs/mfa-150/slideshow
G0002,并入(G0002),作者+时期同组·haiku 判同一件（Q296）：两条记录英文题名均为 Water Lilies，中文都是睡莲，明确指向同一件莫奈油画,A,22,A,Claude Monet《Water Lilies》睡莲,,https://www.mfa.org/collections/europe
G0003,并入(G0003),作者+时期同组·haiku 判同一件（Q5599）：同一肖像作品《穆莱·艾哈迈德/Portrait of Mulay Ahmad》的两条记录，题名本质相,A,25,A,Peter Paul Rubens《Mulay Ahmad》穆莱·艾哈迈德,,https://collections.mfa.org/objects/32728/mulay-ahmad
G0031,并入(G0031),作者+时期同组·haiku 判同一件（佚名）：杰胡提纳赫特外棺的同一件物品，不同面板的记录（侧板与前侧板）,A,34,A,杰胡提纳赫特外棺前侧板 Outer coffin of Djehutynakht（中王国，公元前 2010–1961，雪松木）,,https://www.mfa.org/collections/ancient-egypt-nubia-and-the-near-east
G0004,并入(G0004),作者+时期同组·haiku 判同一件（Q296）：La Japonaise，莫奈之妻卡米耶穿着日本和服，创作于1876年，[607]为[106]的不完,A,65,A,日本女人 (绘画)（克劳德·莫奈，1876-01-01，油彩）,56.147,https://www.wikidata.org/wiki/Q10322900
G0005,并入(G0005),跨管线馆藏号 48.726,A,70,A,Fisherman's Family（温斯洛·霍默，1881-01-01，纸）,48.726,https://www.wikidata.org/wiki/Q111352238
G0006,并入(G0006),跨管线馆藏号 64.693,A,89,A,Mrs. Fiske Warren (Gretchen Osgood) and Her Daughter Rachel（约翰·辛格·沙金，1903-01-01，油彩）,64.693,https://www.wikidata.org/wiki/Q17026932
G0007,主行,作者+时期同组·haiku 判同一件（Q40599）：维克托里娜·默朗肖像，Victorine Meurent中英两条题名互为翻译，年代1862相同,A,144,A,Victorine Meurent（愛德華·馬奈，1862-01-01，油彩）,46.846,https://www.wikidata.org/wiki/Q20539197
G0008,主行,组画分件 基号 56.171（作者 Q130531 一致）,A,159,A,Franco van Langhel and His Sons with Saint John the Evangelist (outer face); Pieter van Os,56.171.1,https://www.wikidata.org/wiki/Q20540155
G0008,并入(G0008),组画分件 基号 56.171（作者 Q130531 一致）,A,160,A,Heilwich van der Rullen and Her Daughters with Saint Mary Magdalen (outer face); Hendrixke,56.171.2,https://www.wikidata.org/wiki/Q20540157
G0003,主行,作者+时期同组·haiku 判同一件（Q5599）：同一肖像作品《穆莱·艾哈迈德/Portrait of Mulay Ahmad》的两条记录，题名本质相,A,192,A,Portrait of Mulay Ahmad（彼得·保羅·魯本斯，1609-01-01，油彩）,40.2,https://www.wikidata.org/wiki/Q20555569
G0001,并入(G0001),作者+时期同组·haiku 判同一件（Q46408）：同一件作品的中英两条记录，题名为Deer Skull with Pedernal，年代和作者均相同,A,274,A,Deer's Skull with Pedernal（喬治亞·歐姬芙，1936-01-01，油彩）,1990.432,https://www.wikidata.org/wiki/Q20634926
G0009,主行,作者+时期同组·haiku 判同一件（Q41402）：同一件肖像：斯图尔特为John Adams所作，题名简洁版（John Adams）与完整版（Port,A,286,A,John Adams（吉尔伯特·斯图尔特，1823-01-01，油彩）,1999.59,https://www.wikidata.org/wiki/Q20634988
G0010,并入(G0010),跨管线馆藏号 1976.667,A,366,A,Portrait of Rebecca Boylston（约翰·科普利，1767-01-01，油彩）,1976.667,https://www.wikidata.org/wiki/Q20772177
G0011,并入(G0011),组画分件 基号 1986.127（作者 Q1872755 一致）,A,432,A,Landscapes after Tang poems（陆俨少）,1986.127.1,https://www.wikidata.org/wiki/Q20786068
G0012,主行,作者+时期同组·haiku 判同一件（Q5598）：同一件伦勃朗肖像：题名分别为通用描述（62岁女性）与具体人名（Aeltje Uylenburgh），,A,447,A,"Portrait of a 62-year-old Woman, possibly Aeltje Pietersdr Uylenburgh（伦勃朗，1632-01-01，油彩）",,https://www.wikidata.org/wiki/Q21501685
G0013,主行,作者+时期同组·haiku 判同一件（Q3076703）：都是曾我蕭白《龍虎図》的两个分件（龍部与虎部），同一件作品的整体与分卷,A,450,A,Tigre（曾我萧白，1770-01-01，纸）,11.7051,https://www.wikidata.org/wiki/Q26221007
G0013,并入(G0013),作者+时期同组·haiku 判同一件（Q3076703）：都是曾我蕭白《龍虎図》的两个分件（龍部与虎部），同一件作品的整体与分卷,A,451,A,Tiger（曾我萧白，1770-01-01，纸）,11.7052,https://www.wikidata.org/wiki/Q26221008
G0014,并入(G0014),跨管线馆藏号 13.38,A,480,A,Appeal to the Great Spirit（Cyrus Edwin Dallin，1909-01-01，青铜）,13.38,https://www.wikidata.org/wiki/Q4780980
G0015,并入(G0015),跨管线馆藏号 66.304,A,562,A,Street Singer（愛德華·馬奈，1862-01-01，油彩）,66.304,https://www.wikidata.org/wiki/Q39226
G0004,主行,作者+时期同组·haiku 判同一件（Q296）：La Japonaise，莫奈之妻卡米耶穿着日本和服，创作于1876年，[607]为[106]的不完,A,563,A,和服女子,,
G0040,主行,跨管线馆藏号 48.548,A,564,A,摇摇篮的鲁林夫人,,
G0002,主行,作者+时期同组·haiku 判同一件（Q296）：两条记录英文题名均为 Water Lilies，中文都是睡莲，明确指向同一件莫奈油画,A,565,A,睡莲,,
G0027,主行,跨管线馆藏号 53.2552,A,570,A,牧场少年,,
G0016,主行,作者+时期同组·haiku 判同一件（Q296）：题名均指莫奈夫人卡米耶与其子在阿让特伊花园的场景，创作于1875年，[615]为[984]的简化记录,A,571,A,莫奈夫人与她的儿子,,
G0007,并入(G0007),作者+时期同组·haiku 判同一件（Q40599）：维克托里娜·默朗肖像，Victorine Meurent中英两条题名互为翻译，年代1862相同,A,577,A,维克托里娜·默朗小姐,,
G0015,主行,跨管线馆藏号 66.304,A,578,A,街头歌女,,
G0009,并入(G0009),作者+时期同组·haiku 判同一件（Q41402）：同一件肖像：斯图尔特为John Adams所作，题名简洁版（John Adams）与完整版（Port,A,580,A,约翰·亚当斯肖像,,
G0006,主行,跨管线馆藏号 64.693,A,583,A,菲斯克·沃伦夫人与女儿,,
G0024,主行,跨管线馆藏号 1991.926,A,621,A,查尔斯·英奇斯夫人,,
G0005,主行,跨管线馆藏号 48.726,A,634,A,渔夫一家,,
G0010,主行,跨管线馆藏号 1976.667,A,640,A,丽贝卡·博伊尔斯顿肖像,,
G0021,主行,跨管线馆藏号 77.249,A,641,A,牧羊女,,
G0017,主行,作者+时期同组·haiku 判同一件（Q150679）：Isabella Lady de La Warr肖像，题名完全一致，年代1638年前后相同，馆藏号3,B,3,B,"Anthony van Dyck《Isabella, Lady de La Warr》（约 1638，布面油画）",,https://www.mfa.org/programs/mfa-150/slideshow
G0012,并入(G0012),作者+时期同组·haiku 判同一件（Q5598）：同一件伦勃朗肖像：题名分别为通用描述（62岁女性）与具体人名（Aeltje Uylenburgh），,B,16,B,Rembrandt van Rijn《Portrait of Aeltje Uylenburgh》（1632）,,https://www.mfa.org/collections/europe
G0018,并入(G0018),作者+时期同组·haiku 判同一件（佚名）：同一件圣希波吕图斯殉道题材作品，题名相同（仅差冠词），年代相差3年为古代断代常见差异,B,103,B,The martyrdom of Saint Hippolytus（1492-01-01）,,https://www.wikidata.org/wiki/Q121514523
G0019,并入(G0019),作者+时期同组·haiku 判同一件（Q41402）：题名基本相同（Mrs. James Swan），仅拼写和标点差异（Clark/Clarke），年代作,B,106,B,Mrs. James Swan (Hepzibah Clark).（吉尔伯特·斯图尔特，1808-01-01，画板）,,https://www.wikidata.org/wiki/Q123004242
G0020,主行,组画分件 基号 2008.166（作者 Q1257924 一致）,B,126,B,Night（安东尼奥·洛佩斯·加西亚，2008-01-01，青铜）,2008.166.2,https://www.wikidata.org/wiki/Q130753230
