seq,名称EN,名称CN,当前Tier,Core,完备度,Tier可信度,潜在区间,研究优先级,需复核,复核原因,去推断后仍成立,最关键缺失证据,建议研究问题,缺失证据全部,12项判定
1,Wood‑carved Water‑Moon Guanyin,水月观音木雕,S,9.181,44.8,low,B–S,5.52,是,十二世纪山西归属及海外精品地位均是当前S的核心依据，但现无权威对象记录或比较研究。,否,MFA对象记录及学术图录对十二世纪山西归属的确认。,MFA如何著录这尊水月观音的登录号、断代与山西归属，宋代佛教木雕图录又如何评价它在海外存世同类中的位置？,缺MFA对象记录确认登录号、断代、山西归属、材质及尺寸。；缺宋代水月观音木雕存世谱系及该像艺术品质的权威比较。；缺该像旧藏、交易及MFA入藏记录。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
2,The Daughters of Edward Darley Boit,爱德华·达利·博伊特的女儿们,S,9.488,48.5,high,S,1.08,是,现有cultural_context=日本由花瓶描述误抽取，与萨金特作品及美国艺术展厅语境冲突，属于明显元数据错误。,否,MFA对象记录对作者规范名及文化语境字段的确认。,MFA登录号19.124的官方记录如何规范作者与文化语境，馆方档案又如何说明现陈日本花瓶与画作及博伊特家陈设的关系？,需以MFA对象记录核对作者规范名，并纠正因日本花瓶误抽取的“日本”文化语境字段。；缺萨金特专题图录对该作在其群像画及创作生涯中位置的直接引证。；缺档案核实画中花瓶、博伊特家原陈设与现今共陈花瓶之间的关系。,basic_identification=full date_period=full maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=partial
3,The Great Wave off Kanagawa,神奈川冲浪里,S,9.142,35.4,low,C–S,6.46,是,未锁定MFA具体印本；印次、版态及保存质量可能显著改变这件单件版画的优先级。,否,锁定MFA具体印本的登录号、印次与版态。,MFA地下层31所指《神奈川冲浪里》是哪一登录号和印次，其色泽、套准与磨损状况在MFA其他北斋印本及主要馆藏本中处于何种水平？,缺MFA登录号、印制年代、印次及版面状态，无法锁定具体印本。；缺纸张、色泽、套准、磨损和保存状况的印本鉴定及同类比较。；缺该印本的来源、入藏方式及因纸本保护而进行的展出轮换记录。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
4,The Slave Ship,奴隶船,S,9.506,50.0,high,S,1.00,,,否,权威研究对废奴主题及艺术家意图的文献核实。,MFA登录号99.22的对象记录与透纳专题研究如何解释所涉弃奴索赔事件、图像来源及作品在其生涯中的位置？,缺权威研究核实所涉弃奴索赔事件、图像来源及透纳的废奴意图。；缺透纳专题图录对该作在其海景及创作生涯中位置的直接引证。；缺完整来源、MFA入藏经过及重要展览记录。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
5,Dance at Bougival,布吉瓦尔舞会,S,9.205,42.2,medium,A–S,4.05,是,当前S依赖其在雷诺阿及MFA印象派藏品中的顶端位置，但馆内与专题比较证据均缺失。,否,该作在MFA印象派收藏中的比较位置与正式优先级。,MFA官网、导览和展览史是否持续将登录号37.375列为印象派必看作品，雷诺阿专题图录又如何比较它与其他舞会题材作品？,缺MFA对该作在馆内印象派收藏及短访路线中优先级的正式说明。；缺雷诺阿专题图录将该作与其他舞会题材作品进行规模、构图和艺术地位比较。；缺完整来源、入藏经过及重要展览记录。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
6,Where Do We Come From? What Are We? Where Are We Going?,我们从哪里来？我们是谁？我们往何处去？,S,9.726,50.0,high,S,1.00,,,否,专题图录对尺幅纪录及生涯总结性地位的核实。,MFA登录号36.270的对象记录、高更专题图录及艺术家书信如何核实其准确尺幅、生涯位置和图像阅读次序？,缺高更专题图录核实该作的准确尺幅及其生涯总结性地位。；缺艺术家书信和同期文献对哲学主题、图像次序及塔希提语境的直接说明。；缺完整来源、入藏经过及国际展览史。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
7,Sons of Liberty Bowl,自由之子银碗,S,9.086,43.2,high,S,3.02,,,否,MFA对象记录中的登录信息与完整铭文释读。,MFA如何著录自由之子银碗的登录号、年代与铭文，保罗·里维尔银器图录和波士顿同期档案如何说明其委托与抗税用途？,缺MFA对象记录中的登录号、年代、尺寸、银质及完整铭文释读。；缺同期档案说明委托者、原始用途及政治活动中的具体使用方式。；缺历次所有者、家族传承链及MFA入藏记录。；缺保罗·里维尔银器及殖民地政治银器的存世比较。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
8,The Fog Warning,雾的警告,S,8.942,42.2,medium,A–S,4.05,是,当前S依赖该作在荷马海洋画及MFA美国绘画中的顶端位置，但两项比较依据均未落实到外部资料。,否,该作在荷马生涯及MFA美国绘画中的比较位置。,荷马专题图录如何评价MFA登录号94.72在其海洋画中的位置，MFA官网、导览及展览史是否持续将其列为美国绘画短访首选？,缺荷马专题图录对该作在其海洋题材及创作生涯中位置的评价。；缺与MFA其他荷马海景、渔民题材及美国绘画旗舰作品的馆内比较。；缺完整来源、入藏经过及重要展览和出版记录。,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
9,Head of Ankhhaf,安克哈夫头像,S,9.695,50.0,high,S,1.00,,,否,吉萨发掘档案中的墓葬编号、发掘号与原始位置。,MFA与哈佛吉萨档案如何记录安克哈夫头像的发掘号、墓葬、具体出土地和分配经过，古王国肖像雕塑研究又如何比较其写实程度？,缺吉萨发掘档案中的发掘号、墓葬编号、具体出土地及原始位置。；缺MFA对象记录中的准确断代、尺寸、彩绘状况及修复历史。；缺发掘分配、所有权转移及MFA入藏文件。；缺古王国个体化肖像雕塑的存世数量与写实程度比较。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
10,Colossal Statue of Juno,朱诺巨型大理石像,A,8.729,44.8,low,B–S,5.52,是,全美最大纪录及古代原件完整程度均是现有判断的核心依据，却缺测量比较与技术报告。,否,全美最大纪录的测量依据及古代原件范围。,MFA如何著录朱诺巨像的古代与现代部分及总高度；按统一口径比较美国主要博物馆巨型古典大理石像后，“全美最大”是否成立？,缺MFA对象记录确认登录号、年代、准确尺寸、原始身份及古代部分范围。；缺“美国现存最大古典大理石像”的统一测量标准及全国比较清单。；缺技术报告区分残缺、古代重雕、现代补配及修复范围。；缺来源、入藏经过及当前展厅视线和展示作用记录。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
