seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
1,"Yin Yu Tang, Chinese Merchant House",荫余堂 清代徽州商人古宅,Yin Yu Tang Courtyard,Historic Wooden Architecture,node,历史宅邸建筑,1,9.2,10.0,9.4,9.5,9.8,8.8,9.8,10.0,10.0,9.900,9.555,S,S,,Core 9.555，峰值 10.0，S-ness 3/3,high,海外唯一完整迁建的清代徽州商宅兼具全球稀缺性、完整生活空间和极强文明叙事，是PEM最不可替代的身份标志，虽迁离安徽原址仍保留了宅院内部关系。,组内唯一的历史宅邸建筑，且以海外罕见的整体迁建清代徽州民居身份成为PEM最具辨识度的空间体验与中国社会史叙事核心，故品质、独特性和补位价值均居本组绝对首位。,三项均成立，保留S。荫余堂是具有完整空间体验的海外孤例，两小时行程仍须优先安排；漏看会错失PEM最鲜明的现场体验，其消失也会直接剥离全馆最具辨识度的身份标志。
2,"Nanban Byobu, Portuguese Trade Arrival Screen",南蛮屏风：葡萄牙商船到来六曲屏风,Japanese Art Gallery,Screen Painting,object,日本屏风画,1,9.1,9.3,9.2,8.9,9.4,0,9.6,9.8,9.9,9.720,9.242,S,S,,Core 9.242，峰值 9.4，S-ness 3/3,high,这件17世纪初金地六曲南蛮屏风既是欧日早期接触的重要图像史料，又以宏大华丽的现场效果直接支撑PEM的跨洋贸易叙事。,组内唯一的日本屏风画，且为南蛮画高水平典范，独占类别代表性并以欧日海贸图像关键补足PEM的跨洋交流叙事。,三项均成立，保留S。屏风兼具高水平日本绘画、强烈视觉效果与欧亚海上接触主题，适合两小时重点路线；漏看明显可惜。它对PEM的意义不只是日本屏风中的佳作，还精准连接东亚收藏与跨洋贸易叙事，故其消失会明显损害本馆身份。
3,Hawaiian Kū War God Figure,夏威夷库战神木雕,Oceanic Art Gallery,Carved Wood Sculpture,object,大洋洲仪式木雕,7,9.2,9.5,9.3,9.0,9.3,0,9.8,9.8,9.7,9.780,9.333,S,S,,Core 9.333，峰值 9.5，S-ness 3/3,high,官方断代为19世纪早期而非前接触期，但这尊罕见的大型库神像仍是夏威夷宗教与王权的一级物证，也是PEM立馆性大洋洲收藏的核心焦点。,组内绝对首位，纪念碑式库神像在品质、稀缺性与大洋洲叙事锚点作用上均远超其余六件。,三项均成立，保留S。这尊19世纪早期夏威夷神像具有纪念碑尺度、稀缺性和强烈现场感染力，两小时内应看，漏看亦明显可惜。作为PEM核心大洋洲收藏的代表性锚点，其消失会使该支柱板块及其早期远洋收藏叙事明显受损。
4,"Spilum, Pair Portraits of Captain Wheatland & Wife",斯波伦 惠特兰船长夫妇外销肖像,Asian Export Art Gallery,Oil on Canvas,object,中国外销油画肖像,1,8.5,9.2,7.3,7.7,9.1,0,9.1,9.6,9.8,9.390,8.554,S,S,,Core 8.554，峰值 9.2，S-ness 2/3,medium,史贝霖为塞勒姆船长夫妇绘制且成对留存的外销肖像，把广州作坊、西洋油画技法、中美贸易和本馆航海根源集中在同一组作品中。,本组唯一且成对完整的中国外销油画肖像，兼具较高典范性，并以塞勒姆船长委托关系把广州外销艺术与PEM海事贸易两条核心叙事直接衔接起来。,两项成立，保留S。作品虽不以视觉震撼见长，却以广州画师、塞勒姆船长和外销订制关系把PEM的两条主叙事直接连接起来，两小时路线值得专门安排，漏看也会错失极具本馆特色的中美贸易物证。不过PEM仍有大量海事及亚洲外销藏品，失去这一对肖像会造成缺口，但不足以单独改变全馆身份。
5,"Fitz Henry Lane, Twilight on the Kennebec",菲茨·亨利·莱恩：肯尼贝克河暮色,American Art Gallery,Oil Painting,object,美国光亮主义海景画,1,8.6,7.8,7.7,7.9,8.0,0,9.1,9.0,8.5,8.950,8.105,A,A,,Core 8.105 落在 7.2–8.49,high,莱恩1849年的成熟海景具有国家级光亮主义水准并呼应新英格兰海运文化，但其静谧中等尺幅和PEM非顶尖的美国绘画定位限制了本馆不可替代性。,作为本组唯一作品，它以莱恩成熟的光亮主义海景品质居于组内首位且具高独特性，并补足了PEM海事传统与19世纪新英格兰美国绘画之间的叙事连接。,
6,"John Singleton Copley, Portrait of Sarah Erving Waldo",科普利：莎拉·欧文·沃尔多肖像,American Art Gallery,Oil Painting,object,美国殖民地肖像画,1,8.9,6.9,7.8,7.7,7.9,0,9.0,8.4,8.1,8.640,7.879,A,A,,Core 7.879 落在 7.2–8.49,high,这件1764至1765年的科普利精品以卓越织物描绘呈现殖民地精英文化，但同级科普利作品在邻近机构更集中，因而并非PEM身份支柱。,组内唯一且自然居首，作为高水准科普利殖民地肖像具有较强类别代表性与馆内独特性，并补足PEM对独立战争前新英格兰精英社会的叙事。,
7,"Rush Figurehead, USS Frigate",rushing船头木雕人像,Maritime Gallery,Carved Wood Sculpture,object,美国海事木雕,1,8.7,9.4,9.2,8.9,8.8,0,9.3,9.8,9.8,9.550,9.080,S,S,,Core 9.080，峰值 9.4，S-ness 2/3,high,这件约1805年、传为威廉·拉什所作的纪念碑式护卫舰船首像兼具早期美国雕塑与海军史价值，并以巨大体量成为PEM海事身份的直接象征。,作为组内唯一对象，这件约1805年的纪念碑式美国军舰船首像兼具早期本土雕塑典范性与极高非重复性，并直接锚定PEM的塞勒姆海事叙事。,两项成立，保留S。大型船首像直观、易读且具有强烈空间存在感，是两小时海事路线中的有效核心展件，漏看明显可惜。但PEM的海事身份由规模庞大的航海、贸易和船舶相关收藏共同构成，单件船首像消失会削弱展厅，却未必使全馆身份明显受损。
8,Chinese Export Mandarin Punch Bowl,中国外销纹章大潘趣碗,Maritime Gallery Captain Collectors,Porcelain,object,中国外销瓷,3,8.2,9.7,7.5,7.8,9.3,0,9.3,9.7,9.8,9.520,8.707,S,A,变,Core 8.707 达标但 S-ness 仅 1/3 通过，降 A,medium,大规格纹章潘趣碗本身是优质外销瓷，而其与东印度海洋学会创始船长相连的来源链更使其成为PEM由航海收藏发展而来的建馆物证。,组内稳居首位，其大型定制形制与建馆收藏渊源远超两件常规广彩器，最能贯通广州贸易、船长收藏和PEM起源叙事。,仅一项成立，降为A。其船长旧藏背景适合在两小时路线中作为简短的建馆史节点，因此q1成立；但器物的特殊性高度依赖出处说明，普通游客漏看并非明显遗憾。东印度海洋学会及早期船长收藏还可由其他藏品和档案承载，单只潘趣碗消失不会明显改变PEM身份。
9,"Edo Jizō Bosatsu Wood Sculpture, 1279",1279年地藏菩萨木雕,Powerful Figures Gallery,Wood Gilded Lacquer Sculpture,object,日本佛教木雕,1,9.1,8.4,8.8,8.6,9.0,0,9.4,9.7,8.5,9.310,8.811,A,S,变,Core 8.811，峰值 9.1，S-ness 2/3,high,官方纪年1279年表明其属镰仓时代而非题名中的江户时代，确切纪年、纪念碑尺度与保存金漆使其成为美国收藏中罕见的日本佛教雕塑重器。,组内唯一且自然居首，1279年纪年与复合髹漆木雕工艺使其兼具高典范性和不可替代性，并为PEM的日本收藏补上镰仓佛教造像这一重要叙事环节。,两项成立，保留S。确切纪年的镰仓时代纪念碑式木雕兼具历史稀缺性、工艺保存价值和现场效果，两小时路线仍值得安排，漏看明显可惜。不过日本佛教雕塑并非PEM区别于其他美国博物馆的首要身份支柱，失去此像会损害收藏质量，但不会明显改变本馆身份。
10,"Samuel McIntire, Gardner‑Pingree House architectural carvings",塞缪尔·麦金太尔 加德纳‑平格里宅木雕构件,Gardner‑Pingree Historic House,Wood Architectural Ornament,node,塞勒姆联邦风格建筑木雕,1,8.5,8.8,7.2,7.4,8.7,9.7,9.0,8.8,8.6,8.860,8.386,A,A,,Core 8.386 落在 7.2–8.49,medium,麦金太尔木雕以原位成组状态嵌入加德纳－平格里宅，既代表美国联邦风格又连接PEM与塞勒姆城市史，其空间关系完整性远胜脱离建筑的构件。,作为组内唯一对象，它以麦金太尔原位保存的联邦风格木雕占据首位，既具较高典范性和非重复性，也补足了PEM从塞勒姆远洋贸易延伸至本地商人住宅文化的叙事。,
11,"Josh Simpson, Mega‑Megaplanet Glass Sphere",乔希·辛普森：巨型星球艺术玻璃球,Art & Nature Center,Art Glass,object,美国工作室玻璃,1,6.8,6.8,9.0,9.2,5.6,0,7.8,9.0,6.2,7.840,7.414,A,A,,Core 7.414 落在 7.2–8.49,medium,巨型星球玻璃球凭尺度、光泽与内部色彩拥有极强即时吸引力，但同母题仍在延续且难以承载重要历史制度或文明叙事。,作为本组唯一对象，它以巨型球体及辛普森标志性的“星球”语汇独占美国工作室玻璃席位，D自然居首，但对PEM海事与亚洲外销艺术核心叙事仅属当代补位。,
12,Korean Joseon Governor Welcoming Banquet Screen,朝鲜朝鲜时代 平壤道牧使欢迎宴会屏风,Korean Art Gallery,Screen Painting,object,朝鲜王朝屏风画,1,8.8,9.0,8.8,8.4,9.4,0,9.3,9.6,9.2,9.370,8.937,S,A,变,Core 8.937 达标但 S-ness 仅 1/3 通过，降 A,medium,这件大幅朝鲜官署宴会屏风以密集人物和建筑场景记录地方官僚礼仪，是美国少见的高规格纪事屏风，也是PEM韩国艺术板块的代表作。,组内唯一且属罕见的大幅朝鲜官署宴飨纪事屏风，在品质、独特性与补足韩国地方治理礼仪叙事方面均居无可替代的首位。,仅一项成立，降为A。它是重要且少见的朝鲜纪事屏风，漏看确实可惜；但画面信息需要较长时间阅读，在仅有两小时的PEM路线中应让位于荫余堂、海事、亚洲外销及大洋洲的身份级展件。其消失会削弱韩国艺术陈列，却不足以使全馆身份明显受损。
13,Maori War Treasure Jade Mere,毛利玉质战争权杖,Mixed Oceanic Gallery,Nephrite Jade Weapon,object,大洋洲礼仪兵器,1,8.4,8.5,6.4,7.2,8.6,0,8.8,9.4,9.2,9.060,8.041,S,A,变,Core 8.041 落在 7.2–8.49,medium,前接触期高阶毛利软玉 mere 将精湛石作、酋长权威与 taonga 传承制度同塞勒姆早期远洋采集史联系起来，但手持尺度限制了现场冲击力。,组内唯一且以软玉材质、毛利酋长权威与礼仪兵器属性占据首位，并为 PEM 的大洋洲文化及早期新英格兰远航收藏史补上不可替代的一环。,
14,"Childe Hassam, New England Autumn Landscape",柴尔德·哈萨姆：新英格兰秋景,American Art Gallery,Oil Painting,object,美国风景油画,2,7.6,6.8,7.6,7.5,7.2,0,8.1,6.5,7.2,7.440,7.309,A,A,,Core 7.309 落在 7.2–8.49,medium,作品代表哈萨姆成熟期美国印象派风景画水准，新英格兰题材具有地域契合度，但并非其顶级代表作，且美国主流绘画不是 PEM 的核心优势。,组内品质与艺术史典范性居首，但其新英格兰印象派秋景相对更常见，独特性和叙事补位弱于布里奇斯作品。,
15,"Robert Feke, Portrait of Judge Richard Saltonstall",罗伯特·费克：理查德·索尔顿斯托尔法官肖像,American Art Gallery,Oil Painting,object,美国肖像油画,2,8.1,7.8,7.3,6.9,8.1,0,8.8,8.8,8.4,8.720,7.787,A,A,,Core 7.787 落在 7.2–8.49,high,这幅约1750年的费克正式肖像属于美国殖民时期肖像画的重要实例，并能以马萨诸塞法官形象有效讲述新英格兰精英社会与权力结构。,组内居首：作为费克现存佳作之一，它以殖民时期新英格兰肖像的稀缺性和地域关联，较萨金特常见的镀金时代社会肖像更能补强PEM叙事。,
