# 展品名称、馆名与展厅名
#
# key        —— 原文，去重键，须与源 Excel 逐字一致，不要改
# zh / en    —— 两个语种的文本；原文那一侧已填好，另一侧待译
# confidence —— 官方 / AI / 存疑，只描述「译出来的那一半」
#                官方 = 通行的既定译名（Louvre = 卢浮宫）
#                AI   = 机器翻译，正常可用
#                存疑 = 拿不准，优先人工复核（grep 存疑 即可捞出）
#
# 本文件由 make_translation_skeleton.py 生成与增量更新，可直接手工编辑。
kind,key,zh,en,confidence
artwork_name,13-14世纪铜鎏金不动佛像,13-14世纪铜鎏金不动佛像,"Gilt-bronze Akshobhya Buddha, 13th–14th century",AI
artwork_name,14世纪铜鎏金释迦牟尼佛像,14世纪铜鎏金释迦牟尼佛像,"Gilt-bronze Shakyamuni Buddha, 14th century",AI
artwork_name,16世纪铜鎏金宝生佛像,16世纪铜鎏金宝生佛像,"Gilt-bronze Ratnasambhava Buddha, 16th century",AI
artwork_name,17-18世纪铜鎏金阿弥陀佛像,17-18世纪铜鎏金阿弥陀佛像,"Gilt-bronze Amitabha Buddha, 17th–18th century",AI
artwork_name,1782年外国双人头像金币,1782年外国双人头像金币,"Foreign gold coin with two portrait heads, 1782",AI
artwork_name,1782年外国金币,1782年外国金币,"Foreign gold coin, 1782",AI
artwork_name,18-19世纪铜漆金大日如来像,18-19世纪铜漆金大日如来像,"Lacquer-gilt bronze Vairocana, 18th–19th century",AI
artwork_name,18世纪铜无量寿佛像,18世纪铜无量寿佛像,"Bronze Amitayus, 18th century",AI
artwork_name,18世纪铜鎏金大日如来像,18世纪铜鎏金大日如来像,"Gilt-bronze Vairocana, 18th century",AI
artwork_name,18世纪铜鎏金无量寿佛像,18世纪铜鎏金无量寿佛像,"Gilt-bronze Amitayus, 18th century",AI
artwork_name,18世纪铜鎏金释迦牟尼佛像,18世纪铜鎏金释迦牟尼佛像,"Gilt-bronze Shakyamuni Buddha, 18th century",AI
artwork_name,18世纪铜阿弥陀佛像,18世纪铜阿弥陀佛像,"Bronze Amitabha Buddha, 18th century",AI
artwork_name,18世纪银供盘,18世纪银供盘,"Silver offering dish, 18th century",AI
artwork_name,1901年美国自由女神头像20美元金币,1901年美国自由女神头像20美元金币,"United States twenty-dollar gold coin with Liberty head, 1901",AI
artwork_name,1907年秘鲁1/2磅金币,1907年秘鲁1/2磅金币,"Peruvian half-pound gold coin, 1907",AI
artwork_name,1908年美国自由女神站像20美元金币,1908年美国自由女神站像20美元金币,"United States twenty-dollar gold coin with standing Liberty, 1908",AI
artwork_name,1910年美国自由女神站像20美元金币,1910年美国自由女神站像20美元金币,"United States twenty-dollar gold coin with standing Liberty, 1910",AI
artwork_name,1929年孙中山先生安葬铜纪念章,1929年孙中山先生安葬铜纪念章,"Bronze medal commemorating the interment of Sun Yat-sen, 1929",AI
artwork_name,k金小怀表,k金小怀表,Small gold pocket watch,AI
artwork_name,k金小残怀表,k金小残怀表,Small damaged gold pocket watch,AI
artwork_name,k金怀表,k金怀表,Gold pocket watch,AI
artwork_name,k金残怀表,k金残怀表,Damaged gold pocket watch,AI
artwork_name,k金画珐琅双鸽花纹怀表,k金画珐琅双鸽花纹怀表,Gold pocket watch with painted enamel doves and flowers,AI
artwork_name,“乘云绣”黄棕绢,“乘云绣”黄棕绢,"Yellow-brown silk with ""Riding the Clouds"" embroidery",AI
artwork_name,“亲晋胡王”青铜印西晋印面边,“亲晋胡王”青铜印西晋印面边,"Bronze seal inscribed ""Qin Jin Hu Wang"", Western Jin",AI
artwork_name,“传祚无穷”瓦当 北魏直,“传祚无穷”瓦当 北魏直,"Tile end inscribed ""May the succession be endless"", Northern Wei",AI
artwork_name,“作册般”青铜鼋 商后期,“作册般”青铜鼋 商后期,"Bronze turtle of the Scribe Ban, late Shang",AI
artwork_name,“单于天降”瓦当,“单于天降”瓦当,"Tile end inscribed ""The Chanyu descends from heaven""",AI
artwork_name,“召”青铜卣,“召”青铜卣,Bronze you of Zhao,AI
artwork_name,“召”青铜卣 西周,“召”青铜卣 西周,"Bronze you of Zhao, Western Zhou",AI
artwork_name,“后母辛”青铜觥 商后期,“后母辛”青铜觥 商后期,"Bronze gong of Hou Mu Xin, late Shang",AI
artwork_name,“国宝金匮直万”青铜钱,“国宝金匮直万”青铜钱,"Bronze coin ""Guobao Jinkui Zhiwan""",AI
artwork_name,“国宝金匮直万”青铜钱 新朝,“国宝金匮直万”青铜钱 新朝,"Bronze coin ""Guobao Jinkui Zhiwan"", Xin dynasty",AI
artwork_name,“大夏真兴”青铜钱,“大夏真兴”青铜钱,"Bronze coin ""Daxia Zhenxing""",AI
artwork_name,“大秦龙兴化牟古圣”瓦当,“大秦龙兴化牟古圣”瓦当,"Tile end inscribed ""Daqin Longxing Huamou Gusheng""",AI
artwork_name,“妇好”青铜三联甗 商后期,“妇好”青铜三联甗 商后期,"Bronze three-tiered yan of Fu Hao, late Shang",AI
artwork_name,“妇好”青铜偶方彝 商后期,“妇好”青铜偶方彝 商后期,"Bronze double-bodied fangyi of Fu Hao, late Shang",AI
artwork_name,“妇好”青铜鸮尊,“妇好”青铜鸮尊,Bronze owl zun of Fu Hao,AI
artwork_name,“妇好”青铜鸮尊 商后期,“妇好”青铜鸮尊 商后期,"Bronze owl zun of Fu Hao, late Shang",AI
artwork_name,“始建国二年”铜镜 新朝,“始建国二年”铜镜 新朝,"Bronze mirror dated the second year of Shijianguo, Xin dynasty",AI
artwork_name,“尚均”款田黄石布袋和尚像,“尚均”款田黄石布袋和尚像,"Tianhuang stone Budai marked ""Shangjun""",AI
artwork_name,“开元通宝”青铜钱唐直,“开元通宝”青铜钱唐直,"Bronze coin ""Kaiyuan Tongbao"", Tang",AI
artwork_name,“文南”款铜佛像,“文南”款铜佛像,"Bronze Buddha marked ""Wennan""",AI
