# mfa_boston_ext 的 metadata 取值译名表
# kind 固定 meta_value_text；key 与 zh 都是抽出来的中文原值
# confidence：官方=通行既定译名 / AI=机器翻译 / 存疑=拿不准，优先人工复核
# **人名一栏是回译不是翻译**：拿不准就留中文并标存疑，
#   造一个不存在的拼写（沙金 -> Shajin）比留着中文更糟。
kind,key,zh,en,confidence,used_by
meta_value_text,1149 年,1149 年,1149,AI,date_absolute
meta_value_text,1189 年,1189 年,1189,AI,date_absolute
meta_value_text,11–12 世纪,11–12 世纪,11th–12th century,AI,date_absolute
meta_value_text,12 世纪,12 世纪,12th century,AI,date_absolute
meta_value_text,12 世纪初,12 世纪初,early 12th century,AI,date_absolute
meta_value_text,13 世纪初,13 世纪初,early 13th century,AI,date_absolute
meta_value_text,1356 年,1356 年,1356,AI,date_absolute
meta_value_text,14 世纪中期,14 世纪中期,mid-14th century,AI,date_absolute
meta_value_text,14–15 世纪,14–15 世纪,14th–15th century,AI,date_absolute
meta_value_text,16–17 世纪,16–17 世纪,16th–17th century,AI,date_absolute
meta_value_text,1763 年,1763 年,1763,AI,date_absolute
meta_value_text,18 世纪中期,18 世纪中期,mid-18th century,AI,date_absolute
meta_value_text,19 世纪,19 世纪,19th century,AI,date_absolute
meta_value_text,19 世纪中期,19 世纪中期,mid-19th century,AI,date_absolute
meta_value_text,19 世纪末,19 世纪末,late 19th century,AI,date_absolute
meta_value_text,19 世纪末–20 世纪,19 世纪末–20 世纪,late 19th–20th century,AI,date_absolute
meta_value_text,1900 年 Bartlett 捐款购藏,1900 年 Bartlett 捐款购藏,Purchased in 1900 with funds donated by Bartlett,AI,acquisition
meta_value_text,1900 年 Francis Bartlett 十万美元专款购藏的成果,1900 年 Francis Bartlett 十万美元专款购藏的成果,"Acquired in 1900 through Francis Bartlett's designated fund of $100,000",AI,acquisition
meta_value_text,1900 年 Francis Bartlett 捐款购藏,1900 年 Francis Bartlett 捐款购藏,Purchased in 1900 with funds donated by Francis Bartlett,AI,acquisition
meta_value_text,1912 年 Bartlett 捐款购藏,1912 年 Bartlett 捐款购藏,Purchased in 1912 with funds donated by Bartlett,AI,acquisition
meta_value_text,1930 年以 Harriet White Bradbury 基金购入,1930 年以 Harriet White Bradbury 基金购入,Purchased in 1930 with the Harriet White Bradbury Fund,AI,acquisition
meta_value_text,20 世纪,20 世纪,20th century,AI,date_absolute
meta_value_text,20 世纪中期,20 世纪中期,mid-20th century,AI,date_absolute
meta_value_text,20 世纪初,20 世纪初,early 20th century,AI,date_absolute
meta_value_text,2015 年 MFA 以多项基金联合购入,2015 年 MFA 以多项基金联合购入,Purchased by the MFA in 2015 with support from multiple funds,AI,acquisition
meta_value_text,6 世纪,6 世纪,6th century,AI,date_absolute
meta_value_text,9 世纪,9 世纪,9th century,AI,date_absolute
meta_value_text,9–10 世纪,9–10 世纪,9th–10th century,AI,date_absolute
meta_value_text,Art of Asia 亚洲艺术（Arts of Korea 韩国艺术展厅）,Art of Asia 亚洲艺术（Arts of Korea 韩国艺术展厅）,Art of Asia (Arts of Korea Gallery),AI,gallery_official
meta_value_text,"Art of Asia 亚洲艺术（Level 1, Gallery 175 伊斯兰艺术）","Art of Asia 亚洲艺术（Level 1, Gallery 175 伊斯兰艺术）","Art of Asia (Level 1, Gallery 175, Islamic Art)",AI,gallery_official
meta_value_text,Art of Asia 亚洲艺术（Level 1–2 各亚洲展厅）,Art of Asia 亚洲艺术（Level 1–2 各亚洲展厅）,Art of Asia (Asian galleries on Levels 1–2),AI,gallery_official
meta_value_text,Art of Asia 亚洲艺术（中国书画）,Art of Asia 亚洲艺术（中国书画）,Art of Asia (Chinese Calligraphy and Painting),AI,gallery_official
meta_value_text,Art of Asia 亚洲艺术（中国绘画）,Art of Asia 亚洲艺术（中国绘画）,Art of Asia (Chinese Painting),AI,gallery_official
meta_value_text,Art of Asia 亚洲艺术（南亚与东南亚）,Art of Asia 亚洲艺术（南亚与东南亚）,Art of Asia (South and Southeast Asia),AI,gallery_official
meta_value_text,Art of Asia 亚洲艺术（南亚绘画）,Art of Asia 亚洲艺术（南亚绘画）,Art of Asia (South Asian Painting),AI,gallery_official
meta_value_text,Art of Asia 亚洲艺术（日本版画）,Art of Asia 亚洲艺术（日本版画）,Art of Asia (Japanese Prints),AI,gallery_official
meta_value_text,Art of Asia 亚洲艺术（日本艺术精选）,Art of Asia 亚洲艺术（日本艺术精选）,Art of Asia (Highlights of Japanese Art),AI,gallery_official
meta_value_text,Art of Asia 亚洲艺术（翁万戈收藏）,Art of Asia 亚洲艺术（翁万戈收藏）,Art of Asia (Wan-go H. C. Weng Collection),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（19 世纪法国绘画展厅）,Art of Europe 欧洲艺术（19 世纪法国绘画展厅）,Art of Europe (19th-Century French Paintings Gallery),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（19 世纪法国雕塑）,Art of Europe 欧洲艺术（19 世纪法国雕塑）,Art of Europe (19th-Century French Sculpture),AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（Kunstkammer 珍奇柜展厅）,Art of Europe 欧洲艺术（Kunstkammer 珍奇柜展厅）,Art of Europe (Kunstkammer Gallery),AI,gallery_official
meta_value_text,"Art of Europe 欧洲艺术（Level 2, Gallery 250 汉诺威银器）","Art of Europe 欧洲艺术（Level 2, Gallery 250 汉诺威银器）","Art of Europe (Level 2, Gallery 250, Hanoverian Silver)",AI,gallery_official
meta_value_text,"Art of Europe 欧洲艺术（Level 2, Gallery 252 Monet Gallery）","Art of Europe 欧洲艺术（Level 2, Gallery 252 Monet Gallery）","Art of Europe (Level 2, Gallery 252, Monet Gallery)",AI,gallery_official
meta_value_text,Art of Europe 欧洲艺术（中世纪艺术）,Art of Europe 欧洲艺术（中世纪艺术）,Art of Europe (Medieval Art),AI,gallery_official
