seq,名称EN,名称CN,当前Tier,Core,完备度,Tier可信度,潜在区间,研究优先级,需复核,复核原因,去推断后仍成立,最关键缺失证据,建议研究问题,缺失证据全部,12项判定
1,"Yin Yu Tang, Chinese Merchant House",荫余堂 清代徽州商人古宅,S,9.555,77.0,high,S,0.46,,,否,缺PEM迁建档案所载原址村名、建造阶段与黄氏家族使用史,PEM荫余堂迁建档案记载的原址村名、建造阶段及原构件比例分别是什么？,缺PEM迁建档案所载原址村名、建造阶段与黄氏家族使用史；缺原构件、替换构件及修复构件比例的工程清单,basic_identification=full date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=full institutional_identity=full category_representativeness=full cultural_educational=partial provenance_acquisition=partial visual_experiential=full relational_spatial=full
2,"Nanban Byobu, Portuguese Trade Arrival Screen",南蛮屏风：葡萄牙商船到来六曲屏风,S,9.242,63.0,high,S,1.50,是,sig_provenance 称“入藏途径未见于现有资料”，但PEM官方记录已明确其为1994年博物馆购藏并由匿名捐赠者资助；未知的只是此前递藏链。,否,缺学术图录对E200727画派归属及其在南蛮屏风谱系中位置的评述,日本屏风画图录如何著录PEM E200727的画派、确切年代及其在南蛮屏风存世谱系中的位置？,缺学术图录对E200727画派归属及其在南蛮屏风谱系中位置的评述；缺1994年购藏以前的收藏地点与完整递藏记录；缺尺寸、各扇保存状况及金箔颜料检测资料,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=full category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
3,Hawaiian Kū War God Figure,夏威夷库战神木雕,S,9.333,63.0,high,S,1.23,是,简介称“前接触期”，与PEM官方19世纪早期断代明显矛盾，需人工纠正。,否,缺本件在全球夏威夷库神像存世谱系中的数量与质量比较,PEM E12071的官方档案如何认定其神祇身份与19世纪早期年代，1825年这一具体年份出自何处？,缺本件在全球夏威夷库神像存世谱系中的数量与质量比较；缺John T. Prince在1846年捐赠前取得该像的地点、时间与方式；缺馆方断代依据及1825年具体年份的原始出处,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=full category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
4,"Spilum, Pair Portraits of Captain Wheatland & Wife",斯波伦 惠特兰船长夫妇外销肖像,S,8.554,37.5,low,C–S,6.25,是,对象身份、Spilum归属及原始配对关系均未核实，任一结论不同都可能显著改变Tier。,否,缺PEM馆号、正式题名、藏品图像及两位被绘者的官方身份记录,PEM目录、年报或Spilum作品图录中是否著录惠特兰船长夫妇肖像，其馆号、题名、作者归属和被绘者全名是什么？,缺PEM馆号、正式题名、藏品图像及两位被绘者的官方身份记录；缺将两幅肖像归于Spilum并断代至广州贸易时期的技术或文献依据；缺证明两幅为原始配对且确由惠特兰夫妇委托的家族或贸易档案,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=none institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=partial
5,"Fitz Henry Lane, Twilight on the Kennebec",菲茨·亨利·莱恩：肯尼贝克河暮色,A,8.105,63.0,high,A,1.90,是,类别代表性理由称其为“本组唯一作品”，而 sig_category 又称该组有两件并将其列为两件之首，组内数量自相矛盾。,否,缺Fitz Henry Lane作品目录对本件创作生涯位置与质量的具体评述,Fitz Henry Lane作品目录如何著录PEM M22672，并如何评价它在其1849年前后海景画中的位置？,缺Fitz Henry Lane作品目录对本件创作生涯位置与质量的具体评述；缺2014年捐赠以前的完整递藏记录；缺尺寸、保存状况及画框是否原配的资料,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=full category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
6,"John Singleton Copley, Portrait of Sarah Erving Waldo",科普利：莎拉·欧文·沃尔多肖像,A,7.879,63.0,high,A,1.40,是,sig_provenance 称“递藏与入藏记录缺失”，但PEM官方资料明确记录其于1976年由Charles Edward Cotting夫妇捐赠；缺失的是更早递藏史而非入藏记录。,否,缺科普利作品目录对M12561归属、年代及创作生涯位置的著录,科普利作品目录如何著录PEM M12561，其委托背景及在1764至1765年肖像创作中的位置是什么？,缺科普利作品目录对M12561归属、年代及创作生涯位置的著录；缺Sarah Erving Waldo的完整传记、家族关系与委托背景；缺1976年捐赠以前的家族递藏及交易记录,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=full category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
7,"Rush Figurehead, USS Frigate",rushing船头木雕人像,S,9.080,51.5,low,C–S,4.85,是,原舰身份与拉什归属都是当前Tier的核心依据，但现有资料未能核实。,否,缺M27741的正式题名、雕刻形象、原属舰名及该舰服役档案,PEM M27741的正式题名、原属舰名和雕刻形象是什么，馆方据何档案将其传归威廉·拉什？,缺M27741的正式题名、雕刻形象、原属舰名及该舰服役档案；缺归属威廉·拉什的款识、账簿、合同或系统性风格比较；缺尺寸、当前展陈图像及与约1800年美国大型船首像的比较；缺脱离原舰至博物馆购藏之间的完整递藏链,basic_identification=partial date_period=full maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=partial
8,Chinese Export Mandarin Punch Bowl,中国外销纹章大潘趣碗,A,8.707,17.7,low,C–A,6.17,是,对象身份及其创始船长来源链均未核实，而建馆来源正是当前Tier的主要依据。,否,缺PEM馆号、正式题名、藏品照片及目录记录,PEM早期目录、东印度海洋学会捐赠簿或船长清单中，是否有可与该纹章潘趣碗图像和纹章对应的入藏记录？,缺PEM馆号、正式题名、藏品照片及目录记录；缺创始船长携回并向东印度海洋学会原始入藏该碗的档案；缺纹章辨识及其与具体船长、家族或委托人的对应证据；缺确切年代、尺寸、胎釉彩绘技术与保存状况,basic_identification=none date_period=none maker_culture=partial historical_significance=none artistic_significance=partial rarity_uniqueness=none institutional_identity=none category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=na
9,"Edo Jizō Bosatsu Wood Sculpture, 1279",1279年地藏菩萨木雕,S,8.811,63.0,high,S,2.78,是,英文名称将作品标为Edo，而馆方纪年为1279年且现有时期字段为镰仓时代，两者明确自相矛盾。,否,缺金箔与漆层是否原装的保存科学和修复报告,PEM E12068.1AB-.4AB的纪年铭文如何释读，馆方保存报告认定哪些金箔、漆层和部件属于原作？,缺1279年纪年铭文全文、位置及释读记录；缺金箔与漆层是否原装的保存科学和修复报告；缺原属寺院、离寺时间及1909年以前的递藏记录；缺与美国及日本带纪年镰仓地藏像的数量和质量比较,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=full category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
10,"Samuel McIntire, Gardner‑Pingree House architectural carvings",塞缪尔·麦金太尔 加德纳‑平格里宅木雕构件,A,8.386,47.0,low,C–A,3.98,是,对象边界、作者归属和原作比例均不确定，直接影响当前Tier赖以成立的原位完整性。,否,缺评级对象所含构件的逐件清单、位置、馆号及正式对象边界,PEM的加德纳—平格里宅建筑档案将哪些木雕构件归入麦金太尔原作，各自位于何处并有何原作或替换状态？,缺评级对象所含构件的逐件清单、位置、馆号及正式对象边界；缺证明麦金太尔本人或其工作室设计、雕刻这些构件的账簿、合同或图纸；缺区分原作、后配、复制与修复构件的建筑考古报告；缺与塞勒姆其他麦金太尔原位木雕系统的完整性比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=none relational_spatial=partial
