seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
1,Self‑Portrait Dedicated to Paul Gauguin,献给高更的自画像,1220 Maurice Wertheim Room,Oil Painting,object,欧洲后印象派油画,1,9.7,10,9.2,9.5,9.8,0,10,10,10,10.000,9.715,S,S,,Core 9.715，峰值 10.0，S-ness 3/3,high,1888年题赠高更的自画像将阿尔时期艺术共同体理想与梵高标志性的肖像语言合为一体，也是Wertheim收藏乃至全馆最具辨识度的核心名作之一。,组内唯一，且以献给高更的特殊创作语境与梵高代表性自画像地位居于绝对核心，并承担串联 Wertheim 收藏和后印象派叙事的关键作用。,三项均成立，保留S：这是两小时路线中的首要馆标，也是Wertheim收藏最鲜明的核心之一；漏看或失藏都会造成明显缺口。
2,Gare Saint‑Lazare: Arrival of a Train,圣拉扎尔火车站：列车进站,1220 Maurice Wertheim Room,Oil Painting,object,法国印象派油画,2,9.5,9.7,9.4,9.3,9.5,0,9.8,9.5,9.6,9.670,9.522,S,S,,Core 9.522，峰值 9.7，S-ness 3/3,high,作为莫奈1877年圣拉扎尔系列中尺幅最大的画布，此作以蒸汽、光线和现代交通集中呈现印象派对工业巴黎的视觉重构，并是Wertheim展室的支柱作品。,组内居首，莫奈圣拉扎尔系列的工业都市主题兼具典范性与馆藏身份意义，是两件中不可替代性更高的核心代表。,三项均成立，保留S：既是莫奈圣拉扎尔系列的关键画幅，也是Wertheim收藏的标志性支柱，具有不可替代的本馆辨识度。
3,Mother and Child,母与子,1220 Maurice Wertheim Room,Oil Painting,object,欧洲早期现代主义油画,1,8.8,9,8.5,8.6,8.9,0,9.2,9.3,9.1,9.210,8.831,S,S,,Core 8.831，峰值 9.0，S-ness 3/3,high,这幅1901年的毕加索母子图以蓝色时期特有的贫困、亲情与忧郁连接其早期转型，也是Wertheim现代绘画序列中的重要一环。,组内唯一且品质居首，其蓝色时期风格具有高度不可替代性，并为韦特海姆收藏及欧洲现代主义转折叙事提供关键一环。,三项均成立，保留S：重要的早期毕加索作品在两小时参观中仍值得安排，并承担Wertheim收藏中毕加索这一关键节点；失去会使其现代艺术叙事明显残缺。
4,Bernini Angel with the Scourge terracotta bozzetto,贝尔尼尼：持鞭天使 陶土模型,2520 European Sculpture,Terracotta Sculpture,object,欧洲巴洛克雕塑模型,1,8.5,9.1,7.5,7.8,9.5,0,9.6,9.7,9.6,9.630,8.658,S,S,,Core 8.658，峰值 9.5，S-ness 2/3,medium,贝尔尼尼亲作陶土小稿虽体量有限，却直接保存了大型巴洛克雕塑从手捏构思到最终定型的过程，并强化本馆罕见的贝尔尼尼小稿群和技术研究特色。,作为组内唯一对象且为贝尔尼尼存世原作陶土小稿，它兼具最高代表性与非重复性，并直接补足本馆独有的巴洛克雕塑创作过程及技术研究叙事。,两项成立，保留S：它足以代表本馆罕见的贝尼尼陶土小稿及其研究语境，短访漏看明显可惜；但本馆身份主要建立在整组bozzetti，而非这一单件，故q3为否。
5,Odalisque with a Slave,宫女与奴隶,2210 European 19thC,Oil Painting,object,19世纪法国学院派油画,1,9.1,9.3,9,8.9,9.3,0,9.6,9.5,9.2,9.490,9.174,S,S,,Core 9.174，峰值 9.3，S-ness 3/3,high,安格尔以高度完成的轮廓、肌理和异域化室内场景塑造其东方主义代表图像，使该作同时成为Winthrop遗赠、学院派技法及殖民凝视研究的关键对象。,组内唯一且属于哈佛核心的安格尔板块，以高度典范性的学院派绘画补足法国新古典主义与东方主义叙事，故在组内居首并获高D。,三项均成立，保留S：这是Winthrop遗赠中安格尔板块的核心锚点，兼具强烈视觉吸引力与学术代表性；缺看或失藏都会明显削弱本馆特色。
6,Summer Scene (Bathers),夏日（沐浴少年）,1220 Maurice Wertheim Room,Oil Painting,object,法国印象派油画,2,8.9,9.1,9.2,8.8,9.2,0,9.1,8.1,9.0,8.780,9.013,S,S,,Core 9.013，峰值 9.2，S-ness 2/3,high,巴齐耶将近乎纪念碑式的人体群像置于明亮户外环境中，是印象派形成前夕连接写实人物画与光色实验的代表作，也是其短暂生涯的公认高峰。,组内居次，巴齐耶的大尺幅人物构图有效补充早期印象派叙事，但总体典范地位与不可替代性逊于莫奈。,两项成立，保留S：作为巴齐耶生涯中的枢纽性大型作品，它在两小时路线中仍属必看；但本馆法国现代绘画另有多件更直接的身份锚点，单件消失尚不足以改变馆格。
7,"Eleven‑Headed Guanyin Hanging Scroll, dated 985CE",北宋985年十一面观音绢本挂轴,2620 East Asian Art,Ink‑color on Silk,object,中国古代佛教绘画,1,9.2,8.9,8.2,8,9.6,0,9.5,9.7,9.3,9.520,8.887,S,S,,Core 8.887，峰值 9.6，S-ness 3/3,medium,985年明确纪年、敦煌来源及绢本佛教图像的稀有保存，使此十一面观音成为研究中古中国密教信仰、图像传播和绘画材料的高价值基准物。,本组唯一对象，凭985年纪年、敦煌绢画的早期性与十一面观音图像的稀有性居于组内首位，并为馆内东亚艺术叙事补足早期中国佛教绘画一环。,三项均成立，保留S：有明确纪年的早期中国佛教绢画极为难得，是短访中应优先呈现的亚洲艺术重器，也构成本馆早期佛教艺术研究深度的重要支柱。
8,Sui‑Dynasty Stone Guanyin Standing Statue,隋代石雕观音立像,2740 Buddhist Art,Stone Sculpture,object,中国古代佛教雕塑,2,8.8,8.8,9,8.7,9,0,9.2,8.3,9.1,8.910,8.856,A,A,,Core 8.856 达标但 S-ness 仅 0/3 通过，降 A,medium,这尊带残存金彩与颜料的隋代观音以庄严尺度和过渡期造型展现北方佛教雕塑的发展，并在Winthrop亚洲收藏中具有突出的现场存在感。,组内列第二，隋代观音在时代过渡性、雕刻品质和残存妆彩上很强，但石雕立像相较敦煌彩塑的非重复性略低。,三项均不成立，降为A：这是一件高质量且富有教学价值的隋代佛教雕塑，但在两小时路线中会让位于更罕见的早期佛画和敦煌彩塑；它也不是本馆不可替代的身份单件。
9,Tang‑Dynasty Painted Clay Bodhisattva (Dunhuang),唐代敦煌彩绘泥塑供养菩萨,2740 Buddhist Art,Painted Clay Sculpture,object,中国古代佛教雕塑,2,9.1,9.1,8.7,8.8,9.7,0,9.5,9.7,9.6,9.580,9.133,S,S,,Core 9.133，峰值 9.7，S-ness 3/3,medium,洞窟之外极少完整保存的唐代敦煌彩塑兼具宗教造像、泥塑工艺和原境移取史价值，其来源争议也使之成为收藏伦理教育的重要实物。,组内居首，敦煌彩绘泥塑以罕见的完整设色和石窟语境区别于常见石雕，并补足中国佛教艺术的彩塑传统。,三项均成立，保留S：敦煌彩绘泥塑的保存与媒材稀有性使其成为两小时内应看的对象；若漏看或失藏，本馆早期中国佛教艺术的独特性都会明显受损。
10,Mogao Cave 320 Mural Fragments,莫高窟320窟壁画残片,2740 Buddhist Art,Mural Fragment,object,中国古代佛教壁画,1,8.5,8.6,6.2,6.8,9.8,0,8.7,9.5,9.3,9.060,8.176,A,A,,Core 8.176 落在 7.2–8.49,medium,320窟残片因破碎状态而视觉完整性有限，但它们直接见证1924年壁画剥取行动，能够集中讲述敦煌艺术、早期考察方法、文物损伤及博物馆伦理。,作为组内唯一的中国古代佛教壁画对象，它以敦煌莫高窟原壁画残片的稀缺性居本组首位，并补足中国佛教纪念性绘画及文物移取与修复伦理的叙事。,
