seq,名称EN,名称CN,当前Tier,Core,完备度,Tier可信度,潜在区间,研究优先级,需复核,复核原因,去推断后仍成立,最关键缺失证据,建议研究问题,缺失证据全部,12项判定
1,Self‑Portrait Dedicated to Paul Gauguin,献给高更的自画像,S,9.715,53.6,high,S,0.93,,,否,缺梵高博物馆或权威作品目录对题铭释读及本作在1888年自画像序列中位置的说明。,哈佛对象页与梵高博物馆作品目录如何释读本作题铭，并将其置于1888年梵高自画像序列中的什么位置？,缺梵高博物馆或权威作品目录对题铭释读及本作在1888年自画像序列中位置的说明。；缺哈佛官方对象页对尺寸、完整媒材结构、题铭和高清图像的记录。；缺早期所有者至Maurice Wertheim及哈佛入藏的完整来源链。；缺哈佛对本作在Wertheim收藏、重点路线或教学活动中地位的官方说明。,basic_identification=full date_period=partial maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
2,Gare Saint‑Lazare: Arrival of a Train,圣拉扎尔火车站：列车进站,S,9.522,50.0,high,S,1.00,,,否,缺Wildenstein莫奈作品目录中的条目编号、创作次序及与系列其他画幅的版本关系。,Wildenstein目录如何编号本作，它在1877年圣拉扎尔系列中的创作次序和尺寸排名分别是什么？,缺Wildenstein莫奈作品目录中的条目编号、创作次序及与系列其他画幅的版本关系。；缺全套圣拉扎尔系列的可靠尺寸表，以核实“系列最大画幅”。；缺哈佛官方对象页对标准题名、签名、尺寸和完整媒材的确认。；缺早期所有者、Wertheim购藏及哈佛入藏的完整来源记录。；缺哈佛对本作在Wertheim收藏和重点参观路线中地位的官方说明。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
3,Mother and Child,母与子,S,8.831,50.0,low,C–S,5.00,是,作者亲笔归属与蓝色时期定位均未获权威来源确认，答案不同可能显著改变当前层级。,否,缺哈佛官方对象记录及权威目录对Pablo Picasso亲笔归属的确认。,哈佛对象页与Zervos目录是否将登录号1951.57确认为毕加索1901年亲笔作品，并如何界定其蓝色时期位置？,缺哈佛官方对象记录对Pablo Picasso作者归属、标准题名、登录号和年代的确认。；缺Zervos目录或其他权威目录对亲笔性、1901年断代及蓝色时期归属的著录。；缺本作与毕加索其他蓝色时期母子题材作品的质量比较及生涯定位。；缺早期来源、Wertheim购藏或遗赠环节及哈佛入藏记录。；缺哈佛将本作列为Wertheim收藏或现代艺术核心作品的官方记录。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
4,Bernini Angel with the Scourge terracotta bozzetto,贝尔尼尼：持鞭天使 陶土模型,S,8.658,43.5,low,C–S,5.65,是,亲笔性、年代及对应项目均未获权威确认，简介中的项目归属也需要专项核验。,否,缺权威目录对贝尔尼尼亲笔性及对应终作、确切委托项目的确认。,哈佛对象页和贝尔尼尼权威目录如何归属这件《持鞭天使》小稿，它对应哪件终作与哪项委托？,缺哈佛官方记录中的登录号、标准题名、年代及对Gian Lorenzo Bernini归属的意见。；缺贝尔尼尼权威目录对亲笔性、对应终作及确切委托项目的确认。；缺相关存世小稿数量、版本关系及该件在哈佛bozzetti群中的比较。；缺该件早期所有者、交易与哈佛入藏记录。；缺Straus修复研究中心对泥料、塑造痕迹和烧制状态的技术报告。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=partial
5,Odalisque with a Slave,宫女与奴隶,S,9.174,48.4,low,C–S,5.16,是,当前S级依赖安格尔亲笔、重要版本及Winthrop核心地位，但三项均缺权威资料。,否,缺安格尔权威作品目录对亲笔性及具体版本关系的确认。,哈佛对象页与安格尔权威目录如何著录《宫女与奴隶》，其亲笔性、年代及与其他版本的关系是什么？,缺哈佛官方对象记录对登录号、标准题名、年代和Jean-Auguste-Dominique Ingres作者归属的确认。；缺安格尔权威作品目录对亲笔性、具体版本、相关习作及其他版本关系的著录。；缺学术出版对本作在安格尔生涯及十九世纪东方主义绘画中的位置说明。；缺完整来源链、Winthrop购藏记录及遗赠档案。；缺哈佛将本作列为Winthrop收藏或十九世纪绘画代表作的官方记录。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
6,Summer Scene (Bathers),夏日（沐浴少年）,S,9.013,48.4,low,B–S,5.16,是,当前层级依赖未经权威来源确认的生涯高峰与枢纽作品论断，核实结果可能使层级明显变化。,否,缺巴齐耶权威作品目录对亲笔性及其生涯高峰地位的说明。,哈佛对象页和巴齐耶权威目录如何著录《夏日》，并将它置于其大型人物画和短暂生涯中的什么位置？,缺哈佛官方对象记录对登录号、年代、尺寸及Frédéric Bazille作者归属的确认。；缺巴齐耶权威作品目录对亲笔性及本作在其短暂生涯中位置的说明。；缺与巴齐耶其他大型人物画及早期印象派群像作品的具体比较。；缺本作进入Wertheim收藏及随后入藏哈佛的完整记录。；缺哈佛是否将本作列为馆藏代表作或重点教学对象的官方说明。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
7,"Eleven‑Headed Guanyin Hanging Scroll, dated 985CE",北宋985年十一面观音绢本挂轴,S,8.887,50.0,low,C–S,5.00,是,明确纪年、敦煌来源和稀有性均未被权威资料确认，而三者共同构成当前层级的主要依据。,否,缺权威铭文释读和科学检测对985年纪年及原始性的确认。,哈佛对象页及相关学术出版如何释读本作铭文，985年纪年依据是什么，科学检测是否确认画绢与颜料的原始性？,缺哈佛官方记录中的登录号、铭文全文、尺寸、材质层次和保存状态。；缺权威铭文释读及科学检测，以确认985年纪年和各组成部分的原始性。；缺从敦煌具体地点、早期流传至哈佛入藏的可靠来源链。；缺有明确纪年的十世纪中国佛教绢画存世数量、收藏地点及同类比较。；缺哈佛对本作在Sackler亚洲收藏及实际教学中的官方说明。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
8,Sui‑Dynasty Stone Guanyin Standing Statue,隋代石雕观音立像,A,8.856,50.0,low,C–S,5.00,是,断年、地域及残彩原始性均可能改变作品的历史与艺术重要性，故应进入人工核验。,否,缺哈佛官方记录对隋代断年、地域归属及残存表面性质的确认。,哈佛对象页及Straus中心检测是否确认该像的隋代断年、北方地域归属，以及金彩和颜料中哪些属于原始表面？,缺哈佛官方记录对登录号、具体年代、地域归属及图像学名称的确认。；缺石材、颜料和鎏金检测，以区分原始表面、修复材料与后期添加。；缺与有可靠出土地或题记的隋代观音石像比较，以及存世数量资料。；缺入藏前来源、Winthrop购藏时间与遗赠档案的完整记录。；缺哈佛对该像在中国佛教雕塑收藏中地位的官方说明。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
9,Tang‑Dynasty Painted Clay Bodhisattva (Dunhuang),唐代敦煌彩绘泥塑供养菩萨,S,9.133,48.0,low,C–S,5.20,是,洞窟来源、唐代原始性与完整程度均未确认；任一结果不同都可能显著改变当前层级。,否,缺具体洞窟来源、原始位置及技术检测对唐代原始性的确认。,哈佛入藏档案能否确定该菩萨的莫高窟洞窟号和原位，Straus中心检测又确认了多少唐代原始泥塑与颜料？,缺哈佛官方记录中的登录号、尺寸、材料结构、断代依据、保存状态和修复比例。；缺具体洞窟编号、原始位置、移取者、移取时间及进入哈佛的完整档案链。；缺技术检测以确认泥塑、颜料及各组成部分的年代和原始性。；缺中国境外敦煌彩绘泥塑的存世数量、完整程度及同类馆藏比较。；缺哈佛对该件移取史、收藏伦理和实际教学使用的官方阐释。,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=none
10,Mogao Cave 320 Mural Fragments,莫高窟320窟壁画残片,A,8.176,46.5,low,C–S,5.35,是,320窟归属与移取史是当前层级核心却未有档案支撑，且date_text明显混淆制作年与移取年。,否,缺沃纳原始档案对残片确属320窟及其原墙位置的证明。,Langdon Warner的1924年考察档案和移取前照片能否把哈佛各残片逐块对应到莫高窟320窟的具体墙面位置？,缺每块残片的登录号、数量、尺寸、图像内容、保存状态及当前组合方式。；缺壁画制作年代的权威断代，并须与1924年移取日期分字段记录。；缺Langdon Warner考察原始记录对320窟来源、移取过程和哈佛入藏的证明。；缺320窟原墙坐标、相邻图像、移取前照片及残片对应关系。；缺哈佛对残片修复、移取伦理、展示方式及实际教学使用的官方说明。,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=none
