seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
1,Wood‑carved Water‑Moon Guanyin,水月观音木雕,2nd Floor Chinese Art,Wood Sculpture,object,中国佛教木雕,1,9.2,9.3,9.1,8.8,9.2,0,9.4,9.7,9.5,9.510,9.181,S,S,,Core 9.181，峰值 9.3，S-ness 3/3,high,十二世纪山西水月观音是宋代木雕造像的罕见精品，并直接支撑MFA作为美国重要中国佛教艺术收藏地的身份。,组内唯一的中国佛教木雕，以罕见的宋代山西水月观音形制居首且无重复对象，并为MFA强势的中国佛教造像叙事补上木雕传统的关键一环。,这是MFA中国佛教造像中少数能够独立代表馆藏水准的核心作品，视觉感染力强，也难由另一尊普通木雕替代；三项均为真，保留S。
2,The Daughters of Edward Darley Boit,爱德华·达利·博伊特的女儿们,232 American Art,Oil Painting,object,19世纪美国油画,3,9.4,9.8,9.4,9.3,9.2,0,9.8,9.7,9.6,9.730,9.488,S,S,,Core 9.488，峰值 9.8，S-ness 3/3,high,这幅构图受委拉斯开兹启发的大型群像是萨金特公认的代表作，与原画中日本花瓶共同陈列更使其成为MFA美国艺术板块的核心标志。,组内居首，既是萨金特群像画的典范，又以委拉斯开兹式空间、儿童心理刻画及日本花瓶构成三件中最不可替代的叙事核心。,此作既是萨金特的代表作，也是MFA美国绘画最具辨识度的馆藏之一；在两小时路线和博物馆身份层面都不可轻易替代，保留S。
3,The Great Wave off Kanagawa,神奈川冲浪里,LG31 Japanese Prints,Woodblock Print,object,日本浮世绘版画,1,9.8,8.3,8.3,9.8,9.4,0,9.9,9.7,9.8,9.820,9.142,S,S,,Core 9.142，峰值 9.8，S-ness 2/3,high,《神奈川冲浪里》是全球辨识度最高的日本图像之一，但作为存在多件原版印本的作品，其在MFA庞大日本版画收藏中的单件不可替代性低于孤本级名品。,本组唯一对象，且作为浮世绘乃至日本艺术最具全球辨识度的典范，在组内独特性居首并为MFA核心日本艺术叙事提供关键锚点。,作为全球辨识度极高的图像，它在展出时应进入两小时路线，错过也明显可惜；但版画具有复数存世版本，MFA日本版画的身份更依赖体系性收藏，单一印本消失不会明显损害全馆身份。两项为真，保留S。
4,The Slave Ship,奴隶船,332 European Paintings,Oil Painting,object,19世纪英国油画,1,9.7,9.3,9.4,9,9.9,0,10,10,9.8,9.960,9.506,S,S,,Core 9.506，峰值 9.9，S-ness 3/3,high,透纳以壮烈海景控诉奴隶贸易与保险逐利，使本作同时成为英国浪漫主义绘画杰作和极具力度的废奴叙事载体。,组内唯一且是透纳反奴隶制主题的公认杰作，兼具英国浪漫主义典范性与填补社会批判叙事的高度独特价值。,这是特纳最重要且最具伦理冲击力的作品之一，也是与MFA紧密关联的世界级名画；三项均为真，保留S。
5,Dance at Bougival,布吉瓦尔舞会,255 Impressionism,Oil Painting,object,印象派与后印象派油画,4,9.2,9.1,9.2,9.6,8.9,0,9.7,8.8,9.3,9.350,9.205,S,S,,Core 9.205，峰值 9.6，S-ness 2/3,high,雷诺阿以近乎真人尺度的舞者、鲜明色彩和流动笔触凝结巴黎近郊社交生活，是MFA法国印象派收藏中最具亲和力的代表作之一。,组内综合第二，以典范性的印象派都市休闲场景见长，但舞会题材的独特性略逊于高更巨作及莫奈的跨文化主题。,它是MFA最具公众吸引力的雷诺阿作品之一，两小时参观仍应安排，遗漏也明显可惜；但MFA的印象派身份主要来自整体深度与莫奈群藏，失去这一幅不会从根本上改变馆格。两项为真，保留S。
6,Where Do We Come From? What Are We? Where Are We Going?,我们从哪里来？我们是谁？我们往何处去？,248 Post‑Impressionism,Oil Painting,object,印象派与后印象派油画,4,9.8,9.8,9.8,9.3,9.7,0,10,10,9.8,9.960,9.726,S,S,,Core 9.726，峰值 9.8，S-ness 3/3,high,高更这幅巨幅塔希提哲理寓言是其生涯总结性杰作，兼具压倒性的横幅尺度以及关于生命、殖民观看和象征主义的多层叙事。,组内综合第一，既是品质与历史地位最高的哲理性巨制，也是四件中最不可重复的后印象派叙事核心。,此作是高更创作生涯和MFA后印象派收藏的绝对锚点，尺度、主题与艺术史地位都无同馆替代品；三项均为真，保留S。
7,Sons of Liberty Bowl,自由之子银碗,132 Colonial American,Silver Vessel,object,美国殖民与革命时期银器,1,9.4,9.5,7.6,8.2,9.8,0,9.9,10.0,9.8,9.910,9.086,S,S,,Core 9.086，峰值 9.8，S-ness 3/3,high,保罗·里维尔制作的银碗是反英税收抗议和美国革命前政治动员的关键实物，历史与公民教育价值远超其相对朴素的器形。,组内唯一且是保罗·里维尔银器中兼具典范工艺与革命抗税象征性的核心名作，独特性居本组绝对首位，并补足殖民地政治动员叙事。,它兼具美国革命史、波士顿地方记忆和顶级殖民时期银器三重意义，是MFA美国艺术身份中的独特文物；三项均为真，保留S。
8,The Fog Warning,雾的警告,221 American Painting,Oil Painting,object,19世纪美国油画,3,9,9,8.8,9,8.8,0,9.3,8.5,9.1,9.020,8.942,S,S,,Core 8.942，峰值 9.0，S-ness 3/3,high,荷马以迫近的浓雾、孤舟和渔获塑造强烈悬念，是其海洋题材的重要代表，并强化MFA在美国绘画领域的核心馆藏形象。,组内居次，作为霍默海洋题材的标志性作品显著区别于另外两件，并补足美国劳动、海洋与自然威胁的叙事。,这是MFA所藏霍默作品中最具代表性的海洋题材名作之一，足以进入两小时路线；失去它会明显削弱馆内霍默与十九世纪美国绘画叙事，保留S。
9,Head of Ankhhaf,安克哈夫头像,LG Egyptian Galleries,Limestone Sculpture,object,古埃及人物雕塑,1,9.9,10,9,9.1,10,0,10,10,10,10.000,9.695,S,S,,Core 9.695，峰值 10.0，S-ness 3/3,high,安克哈夫头像以古王国艺术中罕见的个体化写实性著称，且具有哈佛—MFA吉萨发掘语境，是该馆埃及收藏最不可替代的标志性文物之一。,组内唯一对象，且以罕见的古王国写实肖像性和吉萨考古背景居于不可替代的核心位置，完整补足MFA埃及叙事中的王室精英人物形象。,安克哈夫头像兼具古王国肖像艺术的罕见性、强烈的观看冲击力和哈佛—MFA考古收藏的标志性，是全馆埃及板块的身份锚点；三项均为真，保留S。
10,Colossal Statue of Juno,朱诺巨型大理石像,212 Classical Art,Marble Sculpture,object,古罗马大理石雕塑,3,8.4,8,9.8,9.3,8.4,0,9.4,9.2,8.9,9.240,8.729,A,A,,Core 8.729 达标但 S-ness 仅 0/3 通过，降 A,medium,这尊美国现存体量最大的古典大理石像具有突出的尺度和空间统摄力，但MFA古典地中海收藏并非其最具全国优势的身份板块。,组内居首，巨型尺度与帝国时代女神像的典范性最强，是三件中最能担当罗马大理石雕塑门面的作品。,巨型尺度带来显著视觉效果，但在仅有两小时的MFA路线中优先级不足；MFA古典地中海收藏也不以此像为核心身份，体量上的纪录不能转化为不可替代性。三项均否，降A。
