# 定级理由、变动原因、门类与数据来源
#
# key        —— 原文，去重键，须与源 Excel 逐字一致，不要改
# zh / en    —— 两个语种的文本；原文那一侧已填好，另一侧待译
# confidence —— 官方 / AI / 存疑，只描述「译出来的那一半」
#                官方 = 通行的既定译名（Louvre = 卢浮宫）
#                AI   = 机器翻译，正常可用
#                存疑 = 拿不准，优先人工复核（grep 存疑 即可捞出）
#
# 本文件由 make_translation_skeleton.py 生成与增量更新，可直接手工编辑。
kind,key,zh,en,confidence
tier_reason,"150 万件跨五千年藏品,埃及丹铎神庙原件整体移建;西半球百科全书式博物馆之首。","150 万件跨五千年藏品,埃及丹铎神庙原件整体移建;西半球百科全书式博物馆之首。","1.5 million objects spanning five millennia, with the Temple of Dendur relocated whole; the foremost encyclopedic museum in the Western Hemisphere.",AI
tier_reason,"200 幅油画 + 500 素描,单一艺术家世界最大且唯一的完整集合。","200 幅油画 + 500 素描,单一艺术家世界最大且唯一的完整集合。",200 paintings and 500 drawings — the world's largest and only complete collection devoted to a single artist.,AI
tier_reason,300 万件藏品、冬宫原址;规模与跨度仅次于卢浮宫与大英。,300 万件藏品、冬宫原址;规模与跨度仅次于卢浮宫与大英。,3 million objects in the original Winter Palace; second only to the Louvre and the British Museum in scale and breadth.,AI
tier_reason,"62 座法老岩窟墓(含图坦卡蒙墓)原址,新王国王权与来世观的唯一完整见证。","62 座法老岩窟墓(含图坦卡蒙墓)原址,新王国王权与来世观的唯一完整见证。",62 rock-cut pharaonic tombs in situ (including Tutankhamun's) — the only complete testimony to New Kingdom kingship and its vision of the afterlife.,AI
tier_reason,"735 窟 4.5 万平方米壁画 + 藏经洞文献,佛教石窟艺术的世界唯一最高集合;石窟类 S 级代表。","735 窟 4.5 万平方米壁画 + 藏经洞文献,佛教石窟艺术的世界唯一最高集合;石窟类 S 级代表。","735 caves holding 45,000 m² of murals plus the Library Cave manuscripts — the world's unrivalled summit of Buddhist cave art; the S-tier representative of the grotto category.",AI
tier_reason,《亚维农少女》《星月夜》;现代艺术学科范式的建立者与国际标准制定者。,《亚维农少女》《星月夜》;现代艺术学科范式的建立者与国际标准制定者。,Les Demoiselles d'Avignon and The Starry Night; the institution that established the disciplinary paradigm of modern art and set its international standards.,AI
tier_reason,"世界最大佛教建筑,曼陀罗立体化的唯一完整实例。","世界最大佛教建筑,曼陀罗立体化的唯一完整实例。",The world's largest Buddhist monument — the only complete realisation of a mandala in three dimensions.,AI
tier_reason,"世界最大宗教建筑群,古埃及国家神庙体系两千年连续营建的唯一完整记录。","世界最大宗教建筑群,古埃及国家神庙体系两千年连续营建的唯一完整记录。",The world's largest religious complex — the only complete record of two millennia of continuous building in the ancient Egyptian state temple system.,AI
tier_reason,"世界现存规模最大、最完整的木结构宫殿建筑群 + 186 万件宫廷旧藏,明清文明的唯一完整承载体。","世界现存规模最大、最完整的木结构宫殿建筑群 + 186 万件宫廷旧藏,明清文明的唯一完整承载体。","The largest and most complete surviving timber-frame palace complex in the world, plus 1.86 million imperial holdings — the sole complete vessel of Ming-Qing civilisation.",AI
tier_reason,"亚洲规模最大的博物馆之一,展陈水准高;但藏品世界唯一性集中于朝鲜半岛一域,原 S 级主要由 650 万绝对人次驱动 → A。","亚洲规模最大的博物馆之一,展陈水准高;但藏品世界唯一性集中于朝鲜半岛一域,原 S 级主要由 650 万绝对人次驱动 → A。","One of Asia's largest museums, with a high standard of display; but the global uniqueness of its collection is confined to the Korean Peninsula, and the former S tier was driven mainly by 6.5 million absolute visitors → A.",AI
