name,city,is_museum,is_heritage_site,confidence,reason
# 判据：is_museum = 有登录藏品与策展体系的机构；is_heritage_site = 不可移动本体在成为博物馆之前已因自身用途（宫殿/宗教/陵墓/遗址/名人居所/军事）具备遗产价值。
# 为陈列目的新建或改建的馆舍不计入 is_heritage_site（台北故宫、香港故宫、卫城博物馆、大埃及博物馆、奥赛车站均按此排除）。
# 未列入本表的条目按 track 打底：track='博物馆' -> (1,0)，track='遗址地' -> (0,1)。
# confidence=存疑 的行建议人工复核后再改。以 # 开头的行会被导入脚本忽略。
#
# ---------- A. track='博物馆' 但本体本身即遗产 -> is_heritage_site 补 1 ----------
Louvre,巴黎,1,1,确定,卢浮宫殿自12世纪为王宫，塞纳河岸世界遗产组成部分，改馆在后
Vatican Museums,梵蒂冈城,1,1,确定,宗座宫本体；西斯廷礼拜堂天顶画为不可移动壁画，本体即观看对象
Palace Museum (Forbidden City),北京,1,1,确定,紫禁城本体为世界遗产，规则v2明确列为「宫殿+博物馆」双属性范例
State Hermitage Museum,圣彼得堡,1,1,确定,冬宫本体，圣彼得堡历史中心世界遗产组成部分
Uffizi Gallery,佛罗伦萨,1,1,确定,1560年美第奇政务楼（Uffizi即「官署」），佛罗伦萨历史中心世界遗产内
Capitoline Museums,罗马,1,1,确定,卡比托利欧广场与保守宫本体，米开朗琪罗设计
Villa Borghese (Galleria Borghese),罗马,1,1,确定,17世纪博尔盖塞别墅本体与天顶装饰
Palazzo Pitti,佛罗伦萨,1,1,确定,美第奇宫殿本体，世界遗产组成部分
Upper Belvedere,维也纳,1,1,确定,18世纪欧根亲王巴洛克宫殿本体
Musée Rodin,巴黎,1,1,确定,比隆府邸（Hôtel Biron）1730年代宅邸本体与花园
Hagia Eirene & Istanbul Archaeology Museums,伊斯坦布尔,1,1,确定,圣伊琳娜教堂为6世纪拜占庭建筑本体，托普卡帕宫外庭院内
Anne Frank House,阿姆斯特丹,1,1,确定,密室原址本体即观看对象
德累斯顿国家艺术收藏馆（茨温格宫）,德累斯顿,1,1,确定,茨温格宫巴洛克建筑群本体
沈阳故宫博物院,沈阳,1,1,确定,清初宫殿本体，世界遗产
喀山克里姆林宫博物馆保护区,喀山,1,1,确定,喀山克里姆林宫本体，世界遗产
张掖大佛寺,张掖,1,1,确定,西夏寺院本体与卧佛原位
城市宫殿博物馆,斋浦尔,1,1,确定,斋浦尔城市宫殿本体，斋浦尔古城世界遗产
城市宫殿博物馆,乌代布尔,1,1,确定,乌代布尔城市宫殿本体
王宫博物馆,塔那那利佛,1,1,确定,安布希曼加王宫建筑群，世界遗产
马莱曼宫殿博物馆,库马西,1,1,确定,阿散蒂王室宫殿本体
白宫与红宫博物馆（新街）,热那亚,1,1,确定,热那亚新街与罗利宫殿体系世界遗产本体
Somerset House,伦敦,1,1,确定,18世纪新古典主义公共建筑本体
莎士比亚故居,斯特拉特福,1,1,确定,名人居所原址本体
鲁本斯故居,安特卫普,1,1,确定,名人居所原址本体
莫扎特故居,萨尔茨堡,1,1,确定,名人居所原址本体
二里头夏都遗址博物馆,洛阳,1,1,确定,二里头宫城遗址原址建馆
金沙遗址博物馆,成都,1,1,确定,金沙祭祀区原址建馆
海昏侯国遗址博物馆,南昌,1,1,确定,海昏侯国都城与墓园原址建馆
阿夫拉西阿卜遗址博物馆,撒马尔罕,1,1,确定,阿夫拉西阿卜古城原址，壁画原位保存
特洛伊考古遗址与特洛伊博物馆,恰纳卡莱(特洛伊),1,1,确定,条目本身含特洛伊遗址本体，世界遗产
殷墟博物馆,安阳,1,1,确定,殷墟宫殿宗庙区原址，世界遗产
三星堆博物馆,广汉,1,1,存疑,馆区位于三星堆遗址保护范围内，但陈列主体为出土可移动文物
9/11 Memorial & Museum,纽约,1,1,存疑,世贸中心原址与双塔基座本体，遗产认定属当代纪念地而非传统文保
Musée d'Orsay,巴黎,1,1,存疑,奥赛火车站1900年建成并列为历史建筑，但属改建为馆的类型
那不勒斯国立考古博物馆,那不勒斯,1,1,存疑,馆舍为16世纪骑兵营改建的学舍宫，历史建筑但非遗产级观看对象
#
# ---------- B. track='遗址地' 但设有博物馆机构 -> is_museum 补 1 ----------
秦始皇帝陵博物院（兵马俑）,西安,1,1,确定,原址坑体+博物院建制，规则v2列为原址遗址博物馆范例
Pompeii Archaeological Park (and Museum),庞贝,1,1,确定,考古公园本体+Antiquarium 常设陈列
Hagia Sophia Grand Mosque & Museum,伊斯坦布尔,1,1,确定,圣索菲亚本体+馆藏陈列
Memorial and Museum Auschwitz-Birkenau,奥斯威辛,1,1,确定,集中营原址本体+纪念馆建制
Topkapi Palace Museum,伊斯坦布尔,1,1,确定,托普卡帕宫本体+宫廷收藏，规则v2列为「宫殿+博物馆」双属性范例
德尔斐考古遗址与博物馆,德尔斐,1,1,确定,遗址本体+考古博物馆
古奥林匹亚遗址与考古博物馆,奥林匹亚,1,1,确定,遗址本体+考古博物馆
科潘玛雅遗址与雕刻博物馆,科潘,1,1,确定,遗址本体+雕刻博物馆
罗马浴场博物馆,巴斯,1,1,确定,罗马浴场原址本体+馆藏陈列
塔克西拉考古遗址与博物馆,塔克西拉,1,1,确定,遗址本体+考古博物馆
避暑山庄及周围寺庙（承德博物馆）,承德,1,1,确定,避暑山庄本体+承德博物馆
平遥古城（中国票号博物馆·日昇昌旧址 · 平遥县衙博物馆）,平遥,1,1,确定,古城本体+票号与县衙两处馆舍
Sagrada Família Museum,巴塞罗那,1,1,确定,圣家堂本体+地下室博物馆
阿尔塔米拉洞窟与博物馆,桑蒂利亚纳(阿尔塔米拉),1,1,确定,洞窟本体（含复制窟）+博物馆
安帕罗博物馆,普埃布拉,1,1,确定,馆舍为普埃布拉历史中心殖民时期建筑，世界遗产范围内
澳门博物馆,澳门,1,1,确定,馆体嵌入大炮台本体，澳门历史城区世界遗产
玛雅世界大博物馆,梅里达(墨西哥),1,0,存疑,2012年新建馆舍，非原址遗产；原表归入遗址地赛道疑为分类偏差
