来源表,来源行,子集,Tier,展品名称,原因码
S,2,ext·官网,S,杰胡提纳赫特外棺侧板 Outer coffin of Djehutynakht（埃及，公元前 2010–1961 年，雪松木）,NO_TRANSLATION
S,3,ext·官网,S,Claude Monet《Grainstack (Sunset)》干草堆（日落）（1891，布面油画）,NO_MATCH_FOUND
S,8,ext·官网,S,Paul Gauguin《Where Do We Come From? What Are We? Where Are We Going?》我们从何处来？我们是谁？我们向何处去？（1,NO_MATCH_FOUND
S,13,ext·官网,S,木乃伊与彩绘棺群（Mummies 展厅陈列）,NO_TRANSLATION
S,18,ext·官网,S,快庆《弥勒菩萨立像》Boston Miroku（日本，1189 年，桧木、贴金、水晶嵌眼，寄木造）,NO_TRANSLATION
S,21,ext·wikidata,S,吉備大臣入唐繪卷（http://www.wikidata.org/.well-known/genid/f8f2af50392fe08b91cb63cf3dca7e8c，1200-0,NO_MATCH_FOUND
S,25,ext·wikidata,S,九龍圖（陈容，1244-01-01，纸）,NO_MATCH_FOUND
S,34,ext·wikidata,S,波士顿绿头（-0400-01-0，杂砂岩）,NO_MATCH_FOUND
S,37,ext·wikidata,S,Beadnet dress-27.1548.1-2（http://www.wikidata.org/.well-known/genid/02f88c16e886949865ab46,NO_MATCH_FOUND
S,43,原清单,S,九龙图卷,NO_MATCH_FOUND
A,2,ext·官网,A,护佑神灵浮雕 Relief of a protective deity（伊拉克，公元前 883–859 年，石膏）,NO_TRANSLATION
A,3,ext·官网,A,西一（Saichi）《圣观音菩萨立像》Shô Kannon（1269 年，鎏金铜、分范铸造）,NO_TRANSLATION
A,4,ext·官网,A,《阿佛洛狄忒头像》（“巴特利特头像”）Head of Aphrodite（希腊，约公元前 330–200 年，帕罗斯大理石）,NO_TRANSLATION
A,5,ext·官网,A,Samuel McIntire 双层柜 Chest-on-chest（1806–09，桃花心木、乌木与缎木镶嵌、松木）,NO_TRANSLATION
A,6,ext·官网,A,元青花人物故事图罐 Wine jar with design from a popular drama（中国，14 世纪中期，景德镇窑釉下青花）,NO_TRANSLATION
A,7,ext·官网,A,David Smith《Cubi XVIII》（1964，抛光不锈钢）,NO_MATCH_FOUND
A,8,ext·官网,A,黄金葬仪面具 Funerary Mask（巴拿马，公元 700–1520 年，金合金）,NO_TRANSLATION
