seq,名称,旧档,新档,旧 Core,新 Core,ΔCR,ΔHS,ΔIU,ΔVI,ΔVA,ΔCE,旧组,新组,新组件数,新组含新增展品,主因推断
4,"Spilum, Pair Portraits of Captain Wheatland & Wife",S,A,8.55,8.1,0.11,-0.5,-0.2,-1.3,-0.7,-0.1,中国外销油画肖像,中国外销肖像油画,2,,阶段一换了打分者
5,"Fitz Henry Lane, Twilight on the Kennebec",A,B,8.11,7.04,-1.1,-0.6,-1.8,-0.7,-0.9,-1.0,美国光亮主义海景画,美国光亮主义海景油画,1,,阶段一换了打分者
9,"Edo Jizō Bosatsu Wood Sculpture, 1279",S,A,8.81,8.36,-0.21,-0.1,-1.4,0.2,-0.6,0.0,日本佛教木雕,日本镰仓佛教木雕,1,,阶段一换了打分者
11,"Josh Simpson, Mega‑Megaplanet Glass Sphere",A,B,7.41,6.99,-0.49,-0.8,0.2,0.0,-0.2,-1.6,美国工作室玻璃,美国当代艺术玻璃,1,,阶段一换了打分者
14,"Childe Hassam, New England Autumn Landscape",A,B,7.31,6.12,-0.29,-0.6,-2.8,-0.6,-0.5,-1.2,美国风景油画,美国油画,4,,阶段一换了打分者
15,"Robert Feke, Portrait of Judge Richard Saltonstall",A,B,7.79,7.03,0.08,-0.1,-2.8,-0.3,0.1,-0.1,美国肖像油画,美国油画,4,,阶段一换了打分者
16,"Fidelia Bridges, Pastures by the Sea",A,B,7.25,5.93,-1.67,-1.2,-1.9,-1.3,-1.3,-0.3,美国风景油画,美国油画,4,,阶段一换了打分者
18,"John Singer Sargent, Portrait of Sarah Lawrence Brooks",A,B,7.75,6.82,-1.1,-0.2,-2.0,-0.4,-0.1,-1.4,美国肖像油画,美国油画,4,,阶段一换了打分者
24,"Katsumata Chieko, Pumpkin ceramic sculpture",A,B,7.65,6.71,-0.3,-0.6,-0.9,-1.1,-1.1,-1.6,日本当代陶艺,当代日本陶瓷雕塑,1,,阶段一换了打分者
25,Joseon folding screen landscape painting,A,B,7.28,6.51,-0.66,0.0,-1.5,-0.7,-0.8,-0.7,朝鲜屏风画,朝鲜山水屏风画,1,,阶段一换了打分者
35,Canton painted fan for western lady,A,B,7.49,6.93,-0.57,0.0,-1.0,-0.5,-0.7,-0.5,中国外销扇,中国外销折扇,1,,阶段一换了打分者
37,Mughal painted manuscript leaf,A,B,7.2,7.11,-0.15,0.8,-0.6,-0.3,-0.3,0.0,南亚纸本细密画,南亚宫廷绘画与外销艺术,1,,阶段一换了打分者
38,"Sinhalese ivory combs, export set",A,B,7.5,6.63,-0.5,-0.5,-1.3,-0.5,-1.1,-1.0,南亚外销象牙器,南亚外销工艺品,1,,阶段一换了打分者
54,Sam Maloof walnut rocking chair,A,B,7.37,6.59,-0.85,-0.1,-1.3,-0.7,-0.7,-0.9,美国现代工艺家具,美国现代手工家具,1,,阶段一换了打分者
55,J.O.J. Frost folk painting of Salem harbor,A,B,7.22,6.88,-0.79,0.1,-0.7,-0.4,0.0,-0.3,塞勒姆地方民间绘画,塞勒姆地方历史绘画,1,,阶段一换了打分者
62,Marquesan carved ceremonial adze,A,B,7.26,7.1,0.37,0.0,-0.5,0.0,0.0,-0.5,大洋洲仪式木雕,大洋洲仪式石木工具,1,,阶段一换了打分者
65,19‑century Chinese export reverse‑glass painting,A,B,7.32,7.1,-0.94,0.5,0.0,-0.5,0.0,-1.0,中国外销玻璃画,中国外销玻璃背画,2,,阶段一换了打分者
66,Chinese export ivory puzzle ball,A,B,7.56,7.15,0.42,0.5,-1.0,-0.5,0.0,-1.5,中国外销象牙雕,中国外销象牙雕,1,,阶段一换了打分者
71,Nantucket whaling‑scene scrimshaw whalebone,A,B,7.49,7.13,0.2,0.5,-1.0,-0.5,-0.5,-0.5,美国捕鲸骨雕,新英格兰捕鲸时期鲸骨雕,1,,阶段一换了打分者
74,Felix Beato photograph of Chinese city gate,A,B,7.26,6.36,-1.78,-0.5,-1.2,-0.4,-0.8,-1.0,19世纪中国早期摄影,19世纪中国纪实摄影,4,是,阶段一换了打分者
75,John Thomson photograph of Canton street scene,A,B,7.55,7.05,-0.74,0.4,-1.3,-0.8,0.0,-0.4,19世纪中国早期摄影,19世纪中国纪实摄影,4,是,阶段一换了打分者
77,Hawaiian wooden surfboard fragment,A,B,7.46,6.98,-0.25,-0.8,-0.9,0.1,-0.4,-0.2,波利尼西亚传统木制器物,大洋洲传统木制交通与运动器物,1,,阶段一换了打分者
85,"Martin Johnson Heade, Small Bird‑and‑Blossom Study",B,C,5.87,4.99,-1.79,-0.5,-0.8,-1.2,-1.2,-0.3,美国花卉与植物题材绘画,美国自然题材油画,2,,阶段一换了打分者
