seq,tier,core,HS,IU,VI,VA,CE,ER,CR,confidence,object_type,peer_group,名称
1,S,9.467,8.90,10.00,9.20,9.60,9.60,9.20,9.520,high,node,迁建历史建筑与庭院空间,荫余堂 清代徽州商人古宅
2,S,9.215,9.20,9.20,9.20,8.90,9.60,0.00,9.200,high,object,日本屏风绘画,南蛮屏风：葡萄牙商船到来六曲屏风
3,S,9.287,9.20,9.60,9.20,8.90,9.20,0.00,9.520,high,object,大洋洲仪式人像雕刻,夏威夷库战神木雕
4,S,8.535,8.50,9.60,7.50,7.50,8.90,0.00,8.500,high,object,中国外销西洋画法油画肖像,斯波伦 惠特兰船长夫妇外销肖像
5,A,8.620,8.90,8.50,8.90,8.90,8.00,0.00,8.450,high,object,美国光亮主义海景绘画,菲茨·亨利·莱恩：肯尼贝克河暮色
6,A,8.135,8.90,8.00,8.00,7.50,8.00,0.00,8.300,high,object,美国殖民地肖像画,科普利：莎拉·欧文·沃尔多肖像
7,S,8.960,8.90,9.20,9.20,8.90,8.50,0.00,8.900,high,object,船首像与大型船用木雕,rushing船头木雕人像
8,S,8.559,8.00,9.60,8.00,7.50,8.90,0.00,8.990,high,object,中国外销瓷,中国外销纹章大潘趣碗
9,A,8.597,8.90,8.50,8.90,8.00,8.50,0.00,8.820,high,object,日本佛教雕塑,1279年地藏菩萨木雕
10,A,8.435,8.50,9.20,8.00,7.50,8.50,0.00,8.350,high,object,麦金太尔联邦时期建筑木雕,塞缪尔·麦金太尔 加德纳‑平格里宅木雕构件
11,A,7.710,6.50,8.00,9.20,9.20,5.90,0.00,7.650,high,object,美国艺术玻璃,乔希·辛普森：巨型星球艺术玻璃球
12,S,8.885,8.90,9.20,8.90,8.00,9.20,0.00,8.900,high,object,朝鲜屏风绘画,朝鲜朝鲜时代 平壤道牧使欢迎宴会屏风
13,S,8.547,8.90,9.20,7.50,7.50,8.90,0.00,8.820,high,object,大洋洲武器,毛利玉质战争权杖
14,A,7.400,7.50,7.00,8.00,8.50,6.50,0.00,7.000,high,object,19世纪末美国印象派与肖像绘画,柴尔德·哈萨姆：新英格兰秋景
15,A,7.360,8.00,7.50,7.00,6.50,7.50,0.00,7.350,high,object,美国殖民地肖像画,罗伯特·费克：理查德·索尔顿斯托尔法官肖像
16,B,7.100,7.00,7.50,7.00,7.00,7.00,0.00,6.750,high,object,19世纪美国自然主题绘画,菲德莉娅·布里奇斯：海边牧场
17,A,7.257,7.50,8.00,7.00,6.50,7.00,0.00,6.820,high,object,麦金太尔联邦时期建筑木雕,塞缪尔·麦金太尔雕刻壁炉围板
18,A,7.475,8.00,7.00,8.00,8.00,6.50,0.00,7.500,high,object,19世纪末美国印象派与肖像绘画,萨金特：萨拉·劳伦斯·布鲁克斯肖像
19,B,6.505,5.90,6.50,8.00,8.50,5.30,0.00,4.300,high,object,美国艺术玻璃,乔希·辛普森 中小型星球玻璃球
20,A,7.610,7.00,8.50,7.50,7.00,8.00,0.00,7.100,high,object,中国外销瓷,中国外销瓷餐具套件残套
21,A,7.690,7.50,8.00,8.00,7.50,7.50,0.00,7.400,high,object,日本外销瓷,日本有田烧青花大盘
22,A,7.285,8.00,7.50,5.90,7.50,7.00,0.00,7.500,high,object,根付,内藤丰正 兔子根付
23,A,7.500,7.00,7.50,7.50,7.50,8.00,0.00,7.750,high,object,江户商业与生活木器,江户药铺漆绘看板
24,B,6.973,6.50,7.00,8.00,8.00,5.90,0.00,6.380,high,object,日本陶艺,胜田千惠子：南瓜陶塑
25,A,7.575,7.50,8.00,8.00,7.00,7.50,0.00,7.000,high,object,朝鲜屏风绘画,朝鲜时代山水六曲屏风
26,A,7.525,7.00,7.00,8.00,8.00,8.50,0.00,7.000,high,object,汉克·威利斯·托马斯当代作品,汉克·威利斯·托马斯：黑色标本#460
27,A,7.860,7.50,8.90,7.00,7.00,8.50,0.00,7.600,high,object,船舶肖像画,塞勒姆商船《友谊号》船舶肖像
28,A,7.790,8.00,8.00,7.00,7.50,8.00,0.00,8.150,medium,object,航海与天文仪器,巴基斯坦黄铜星盘
29,A,7.415,5.90,7.50,8.90,8.90,6.50,0.00,7.150,high,object,当代混合媒介作品,瓦莱丽·哈格蒂：附藤壶沉船主题立柜
30,A,7.485,7.00,8.50,5.30,7.50,8.50,0.00,7.650,high,object,塞勒姆航海个人遗物,1803海难记事刻木杖
31,B,7.150,7.00,8.00,7.00,6.50,7.00,0.00,6.750,high,object,大洋洲武器,塔希提雕花战棒
32,A,8.035,8.00,8.50,8.00,7.50,8.00,0.00,7.850,high,object,大洋洲仪式人像雕刻,斐济祖先神灵木雕
33,A,7.450,7.50,8.00,7.00,7.00,7.50,0.00,7.250,high,object,毛利雕花容器,毛利雕花珍宝木盒waka huia
34,A,7.710,7.00,8.50,7.00,7.50,8.50,0.00,7.350,high,object,中国外销水粉画,中国外销水粉百工图组画
35,B,7.100,6.50,8.00,7.00,7.00,7.00,0.00,6.500,high,object,外销扇,广州外销西洋女士彩绘折扇
36,A,8.075,8.00,9.20,7.00,7.00,8.50,0.00,8.000,high,object,中国外销西洋画法油画肖像,斯波伦绘制中国商人肖像
37,B,7.175,7.50,7.00,7.00,7.00,7.50,0.00,7.000,medium,object,南亚细密画,莫卧儿细密画册页
38,B,7.175,7.00,8.00,6.50,6.50,7.50,0.00,7.000,high,object,南亚外销象牙雕,斯里兰卡外销象牙梳子套件
39,A,7.965,7.50,8.00,8.50,8.00,8.00,0.00,7.900,high,object,日本漆木交通器具,江户贵族女子轿舆
40,A,7.400,7.50,7.00,8.00,8.00,7.00,0.00,7.000,high,object,日本武具,18世纪蜻蜓纹饰武士兜头盔
41,A,7.424,8.00,7.00,7.00,8.00,7.50,0.00,6.990,high,object,浮世绘版画,葛饰北斋浮世绘组画残套
42,A,7.381,8.00,7.00,7.00,8.00,7.50,0.00,6.560,high,object,浮世绘版画,歌川广重东海道五十三次部分版画
43,B,7.025,7.00,7.50,7.00,6.50,7.00,0.00,6.750,high,object,朝鲜金属工艺,朝鲜王朝黄铜礼式香炉
44,A,7.675,8.00,7.50,7.50,8.00,7.50,0.00,7.500,high,object,白南准影像雕塑,白南准小型影像雕塑
45,B,7.100,7.00,7.50,7.50,6.50,7.00,0.00,6.750,high,object,塞勒姆联邦时期红木家具,美国联邦时代桃花心木餐边柜
46,B,7.100,7.00,7.50,7.50,6.50,7.00,0.00,6.750,high,object,齐本德尔风格家具,齐本德尔风格塞勒姆高斗柜
47,A,7.350,7.00,7.50,8.00,7.50,7.00,0.00,7.000,high,object,新英格兰彩绘民间家具,新英格兰民间彩绘落地大钟
48,A,7.875,8.50,8.00,7.00,7.50,8.00,0.00,8.000,high,object,保罗·里维尔银器,保罗·里维尔银奶壶糖碗成对
49,A,7.200,7.50,8.00,6.50,6.50,7.00,0.00,7.000,high,object,麦金太尔联邦时期建筑木雕,麦金太尔雕刻麦穗装饰构件残件
50,A,7.225,8.00,7.00,7.00,7.50,6.50,0.00,7.250,high,object,温斯洛·霍默纸本作品,温斯洛·霍默小幅海岸水彩习作
51,B,7.025,7.50,7.00,6.50,6.50,7.50,0.00,7.000,high,object,特朗布尔独立战争题材油画稿,约翰·特朗布尔独立战争构图草稿
52,B,6.730,7.00,6.50,7.00,7.50,5.90,0.00,6.450,high,object,19世纪美国自然主题绘画,马丁·约翰逊·希德蜂鸟小稿
53,B,7.160,8.00,6.50,7.50,8.00,5.90,0.00,7.250,high,object,欧姬芙与美国现代主义,乔治亚·欧姬芙花卉小幅作品
54,A,7.265,7.50,7.00,7.50,8.00,6.50,0.00,7.150,high,object,马卢夫工作室家具,萨姆·马卢夫胡桃木摇椅
55,A,7.335,6.50,8.00,7.00,7.50,8.00,0.00,6.600,high,object,塞勒姆民间记忆绘画,J.O.J.弗罗斯特塞勒姆港民间绘画
56,A,8.497,9.20,9.20,4.60,8.50,9.60,0.00,9.520,high,object,塞勒姆历史手稿,塞勒姆猎巫审判时代法庭原始手稿
57,A,7.325,7.00,8.00,7.00,7.00,7.50,0.00,7.000,high,object,中国外销漆器家具,中国外销漆木游戏桌
58,A,7.325,7.00,8.00,7.00,7.00,7.50,0.00,7.000,high,object,日本外销漆器,日本外销漆木写字台
59,A,7.615,7.50,8.00,8.00,7.00,7.50,0.00,7.400,high,object,英印嵌象牙家具,印度维扎加帕塔姆嵌象牙柜子
60,B,7.185,7.00,7.50,7.00,6.50,8.00,0.00,6.850,high,object,朝鲜刺绣补子,朝鲜时代官阶补子
61,A,8.330,8.90,8.90,7.00,7.00,8.90,0.00,8.900,high,object,夏威夷羽制品,夏威夷羽毛斗篷残片
62,A,7.390,7.50,8.00,7.00,6.50,7.50,0.00,7.400,high,object,大洋洲石器与工具,马克萨斯仪式石锛
63,B,7.110,7.00,7.50,7.00,6.50,7.50,0.00,6.850,high,object,大洋洲仪式木碗与容器,汤加雕花祭祀木酒碗
64,A,7.825,7.50,8.00,8.50,8.00,7.50,0.00,7.250,high,object,美拉尼西亚面具,新不列颠美拉尼西亚仪式面具
65,B,7.100,6.50,8.00,7.00,7.00,7.00,0.00,6.500,high,object,外销玻璃背画,中国外销玻璃背面画
66,B,7.050,6.50,7.50,7.00,8.00,6.50,0.00,6.500,high,object,中国外销象牙雕,中国外销象牙套球
67,A,7.450,7.00,7.00,8.50,8.50,7.00,0.00,7.000,high,object,日本武具,江户武士盔甲套件残套
68,B,6.810,7.00,6.50,6.50,6.50,7.50,0.00,7.100,high,object,日本陶艺,日本茶道茶碗
69,B,6.945,7.00,7.00,7.00,7.00,7.00,0.00,6.450,medium,object,南亚细密画,拉杰普特细密画狩猎图
70,B,6.575,6.50,5.90,7.50,7.00,6.50,0.00,6.500,medium,object,伊斯兰建筑陶砖,卡扎尔波斯彩绘瓷砖板
71,A,7.310,7.00,8.00,6.50,7.50,7.50,0.00,6.850,high,object,骨雕scrimshaw,楠塔基特捕鲸主题骨雕scrimshaw
72,A,7.475,7.00,8.00,7.50,7.50,7.50,0.00,7.000,high,object,船模,塞勒姆双桅商船《克娄巴特拉》船模
73,B,6.211,5.90,7.00,5.30,5.90,7.00,0.00,5.510,high,object,捕鲸业日用器物,18世纪美式鲸油灯
74,A,7.560,8.00,7.50,7.00,7.00,8.00,0.00,7.850,high,object,19世纪中国摄影,费利斯·比托中国城门原版照片
75,A,7.535,8.00,7.50,7.00,7.00,8.00,0.00,7.600,high,object,19世纪中国摄影,约翰·汤姆森广州街景原版照片
