seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,原表tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
1,,大山雅堂《布袋和尚戏婴图》,,藏品·日本画,object,日本近世—近代绘画,6,6,5,6,7,5.5,0,7.5,6.5,6.5,7.000,5.925,,B,变,Core 5.925 落在 5.5–7.19,high,题材亲和、人物描绘细腻，画面具有较强观赏性，但作者及作品在日本画史中的地位有限，与伪满宫廷旧址的直接关联也弱。,组内品质中上，但与另一件布袋和尚画重复度较高，因群童互动场景而较另一件布袋题材更具代表性。,
2,,日本青花斗彩花卉纹尊,,藏品·瓷器,object,日本陶瓷及七宝瓶器,5,6.5,5.5,6,6,5.5,0,7,4.5,6,6.050,5.905,,B,变,Core 5.905 落在 5.5–7.19,medium,器形完整、釉彩明亮并有今右卫门款识，体现日本精细瓷器工艺，但体量较小、历史叙事和本馆专属性有限。,组内同为今右卫门青花加彩花卉尊且纹饰较常规，重复度最高，独特性列末。,
3,,七宝烧红地小花瓶,,藏品·瓷器,object,日本陶瓷及七宝瓶器,5,7,6.5,7,7,6.5,0,8,8,8,8.000,6.900,,B,变,Core 6.900 落在 5.5–7.19,high,伪满时期烧制的成对七宝瓶，保存完整、工艺和装饰质量突出，兼具日本工艺史与伪满时期物质文化的叙事价值。,组内工艺与保存状况突出，成对且造型纹饰独特，代表性仅次于大型七宝烧大瓶。,
4,,日本大正十四年菊花御纹章银杯,,藏品·宫廷文物,object,日本宫廷银器,1,7,6,5,5.5,7,0,8,9,7,8.100,6.335,,B,变,Core 6.335 落在 5.5–7.19,high,大正十四年皇室纪念赏赐银杯，带菊花御纹章和三越款，能说明日本皇室礼制与等级秩序，但尺寸小且视觉冲击有限。,组内唯一的日本宫廷银器，具菊花御纹章及赏赐群臣的宫廷礼制属性，代表性与非重复性最高，并能补充日本帝国宫廷制度与伪满政权关联的叙事。,
5,Qibao Burning Chrysanthemum Vase,日本七宝烧菊花纹大瓶,,藏品·瓷器,object,日本陶瓷及七宝瓶器,5,8,6.5,8.5,8,6.5,0,9,9,8.5,8.900,7.565,,A,变,Core 7.565 落在 7.2–8.49,high,大型银胎七宝瓶，体量、色泽和掐丝菊兰纹饰形成显著现场冲击，是日本七宝工艺中的精品，但与宫廷旧址的直接关联不明。,组内品质与体量最突出，且为七宝烧精品，代表性和叙事补位价值均居首。,
6,Blue and white spherical tank,日本青花开光盆景纹小罐,,藏品·瓷器,object,日本陶瓷及七宝瓶器,5,6,5.5,6,5.5,5.5,0,7,6.5,6.5,6.750,5.800,,B,变,Core 5.800 落在 5.5–7.19,high,青花开光山水人物纹饰繁密而规整，具有日本瓷器工艺与审美信息，但器物小巧，稀缺性和本馆专属性不突出。,组内为较有特色的日本青花小罐，纹饰层次丰富，独特性居中上但不及七宝烧器。,
7,Blue and White Colored Flower Vase,日本今右卫门青花加彩花卉纹尊,,藏品·瓷器,object,日本陶瓷及七宝瓶器,5,7,5.5,6.5,6.5,5.5,0,7,5.5,6.5,6.450,6.195,,B,变,Core 6.195 落在 5.5–7.19,medium,今右卫门款青花加彩花卉尊，造型端整、釉彩协调，代表日本高档瓷器的装饰水准，但叙事价值和宫廷现场关联有限。,组内属于较典型的今右卫门青花加彩花卉尊，与同类器物存在重复，代表性居中。,
8,,冈本大更《布袋和尚画像》,,藏品·日本画,object,日本近世—近代绘画,6,6.5,5,6.5,6.5,5.5,0,7,5,6,6.200,5.945,,B,变,Core 5.945 落在 5.5–7.19,high,布袋和尚形象亲切，笔墨和人物神态具有观赏性，但题材较常见，作者及作品的博物馆身份权重不足。,组内品质中等，作为第二件布袋和尚图与序1高度同类重复，在组内代表性和补位价值最低。,
9,Songcun Jingwen's Zen Fox Picture,松村景文《禅狐图》,,藏品·日本画,object,日本近世—近代绘画,6,8,5.5,7,7.5,7,0,8.5,8.5,8,8.400,7.040,,B,变,Core 7.040 落在 5.5–7.19,high,松村景文为日本四条派重要画家，拟人化狐图兼具笔墨趣味、禅意和易识别的视觉吸引力，能补充日本绘画与宗教审美叙事。,组内品质居前，松村景文及四条派背景明确，拟人化禅狐题材与其余人物、山水作品差异突出。,
10,Watanabe Huashan The Daughter of the Knight,渡边华山《武士之女》,,藏品·日本画,object,日本近世—近代绘画,6,8.5,6,7.5,7.5,8,0,9,8,8,8.500,7.500,,A,变,Core 7.500 落在 7.2–8.49,high,渡边华山为兼具画家、学者和政治家身份的重要人物，作品获定为一级文物，人物服饰与武士阶层题材具有较强艺术和社会史价值。,组内品质与历史地位居首，渡边华山人物画代表性强，且以江户武士女性题材区别于其他作品。,
11,Watanabe Huashan's Pictures of Crows in Cold Forest,渡边华山 《寒林群鸦图》,,藏品·日本画,object,日本近世—近代绘画,6,8.5,6,8,7,7.5,0,9,7.5,8,8.350,7.410,,A,变,Core 7.410 落在 7.2–8.49,high,渡边华山大幅寒林山水笔力雄健、构图复杂，尺寸和气势带来较强观赏性，并承载江户晚期文人画及时代忧思的叙事。,与同作者《武士之女》并列组内最高品质梯队，但山水群鸦题材在本组中独特性略低于其人物画代表作。,
12,Xiduochuan Turtle Bran Travel Map,喜多川龟麿《出游图》,,藏品·日本画,object,日本近世—近代绘画,6,7.5,5.5,8,7.5,7,0,8,9,7.5,8.200,7.070,,B,变,Core 7.070 落在 5.5–7.19,high,肉笔浮世绘以贵族出游、服饰等级和山水游赏构成鲜明场景，色彩与装裱具有现场吸引力，也能解释日本近世社会审美和身份秩序。,组内品质良好，肉笔浮世绘与贵族出游题材在六件作品中最具类型独特性，补充日本世俗审美叙事。,
13,Qibao Fengwen Bottle,日本黄釉凤纹七宝烧瓶,怀远楼二楼清宴堂,藏品·瓷器,object,日本七宝烧器物,3,6.0,6.0,8.0,7.0,6.0,0.0,8.0,8.5,7.0,7.950,6.645,,B,变,Core 6.645 落在 5.5–7.19,high,伪满时期日本七宝烧器物，金黄色地与展翅凤凰带来较强视觉冲击，但历史叙事和本馆不可替代性有限。,组内代表性最高：大型黄釉凤纹瓶体量突出、主题鲜明，较能集中体现日本七宝烧器物的工艺与宫廷陈设属性。,
14,,伪满大典纪念章,,藏品·纪念章,object,伪满时期纪念章,5,7.0,7.0,4.0,5.0,8.0,0.0,9,10,9,9.300,6.630,,B,变,Core 6.630 落在 5.5–7.19,high,直接关联伪满登极大典及官吏授章制度，是展示傀儡政权仪式与制度的重要实物，但体量小、现场吸引力较弱。,组内代表性最高，直接对应伪满帝制登极这一核心政治仪式，独特性与叙事补位均最强。,
15,Commemorative Medallion of the Puppet Manchu East Frontier Road,伪满东边道讨伐纪念章,,藏品·纪念章,object,伪满时期纪念章,5,7.0,6.0,4.0,5.0,8.0,0.0,8,8,8,8.000,6.250,,B,变,Core 6.250 落在 5.5–7.19,high,纪念日军对抗日武装的‘讨伐’，能具体揭示侵略镇压与伪满军事宣传，但主题较专门且视觉表现有限。,组内第三位，专指东边道对抗日武装的军事行动，题材鲜明但历史覆盖面较前两者窄。,
16,Establishment of Memorial Medals in the Temple of the Founding of the People's Republic of Manchukuo,伪满建国神庙创建纪念章,,藏品·纪念章,object,伪满时期纪念章,5,7.0,7.0,4.0,5.0,9.0,0.0,8,9,10,8.700,6.720,,B,变,Core 6.720 落在 5.5–7.19,high,连接建国神庙遗址、国家神道与强制礼仪制度，是解释伪满意识形态统治的高叙事价值实物。,组内第二位，建国神庙创建纪念章独具国家神道与殖民统治意识形态信息，并可对应馆内神庙遗址。,
17,Memorial Medallion of Emperor Puppet Manchu's Visit Day,伪满皇帝访日纪念章,,藏品·纪念章,object,伪满时期纪念章,5,6.0,6.0,6.0,6.0,7.0,0.0,7,4,6,5.900,6.140,,B,变,Core 6.140 落在 5.5–7.19,high,记录溥仪访日及日伪皇室关系，设计和绶饰具有一定观赏性，但对伪满宫廷整体叙事的独特贡献中等。,组内相对末位，虽能补充溥仪访日及日满关系，但外交访问纪念题材在本组中的核心代表性较弱。,
18,Puppet Manchukuo's Meritorious Medal of Founding the People's Republic,伪满建国功劳章,,藏品·纪念章,object,伪满时期纪念章,5,7.0,6.0,6.0,6.0,8.0,0.0,8,5,7,6.900,6.590,,B,变,Core 6.590 落在 5.5–7.19,high,体现伪满建国后勋赏制度、五族协和宣传及国家仪式建设，制度史价值较强，视觉吸引力中等。,组内第四位，体现伪满国家勋奖制度的建立，但作为建国功劳类奖章与其他政治纪念章存在较多制度性重复。,
19,Bronze Mirror of Zhongling Tower,忠灵塔铜镜,,藏品·铜镜,object,伪满时期铜镜,3,7.0,6.0,6.0,6.0,8.0,0.0,8.5,9,9,8.750,6.775,,B,变,Core 6.775 落在 5.5–7.19,high,以忠灵塔、战刀和皇纪2600年铭文集中呈现日本战争纪念与日伪宣传，具有较强的殖民意识形态叙事价值。,组内代表性最高，兼具伪满政治宣传、战争纪念与“新京”地域符号，是最能体现政权意识形态的铜镜。,
20,Bronze Mirror in Memory of Guandong Church of Yueyue Religion,御岳教关东大教会纪念铜镜,,藏品·铜镜,object,伪满时期铜镜,3,6.0,6.0,6.0,6.0,8.0,0.0,7.5,6.5,8,7.300,6.430,,B,变,Core 6.430 落在 5.5–7.19,high,兼具双凤浮雕与御岳教纪念铭文，能说明神道教在伪满统治中的宗教宣传作用，但事件范围较专门。,组内居中，突出御岳教宗教侵略主题，但与忠灵塔铜镜同属纪念性宣传器物，独特性略低。,
21,Premier Yuweng Zhou went to think about Memorial bronze mirrors,玉翁周县长去思纪念铜镜,,藏品·铜镜,object,伪满时期铜镜,3,5.0,4.0,8.0,7.0,6.0,0.0,7,8.5,7,7.450,5.895,,B,变,Core 5.895 落在 5.5–7.19,high,体量硕大、铭文完整，直观展示地方官员离任纪念和社会各界颂功习俗，但与伪满宫廷核心身份关联较弱。,组内题材最不重复，以阿城县地方官员去思纪念和本地铸镜作坊信息补充社会史叙事，但与伪满宫廷核心叙事距离较远。,
22,"Silver Cup with Chrysanthemum Imperial Emblem in Showa, Japan",日本昭和三年菊花御纹章银杯,,藏品·宫廷文物,object,日伪宫廷礼仪器物,3,7.0,6.0,5.0,6.0,7.0,0.0,8,7,7,7.500,6.350,,B,变,Core 6.350 落在 5.5–7.19,high,为日本昭和天皇即位大礼下赐物，菊花御纹章直接体现日本皇室礼仪及其与伪满宫廷语境的关联。,组内次高，属于日本皇室即位大礼御赐银质礼仪器物，品质与历史地位突出，但与伪满本地叙事的直接联系弱于24号。,
23,Japans Showa and Sannian Chrysanthemum Imperial Emblem Spear Sugar Box,日本昭和三年菊花御纹章矛型糖盒,,藏品·宫廷文物,object,日伪宫廷礼仪器物,3,6.0,5.0,6.0,6.0,7.0,0.0,6,4,5,5.200,5.820,,B,变,Core 5.820 落在 5.5–7.19,high,即位大礼御赐糖盒，能够说明日本皇室宴飨礼制和象征性赏赐传统，但体量小且本馆独特性有限。,组内代表性较低，虽为昭和即位大礼御赐物并能说明皇室馈赠制度，但糖盒作为礼品器形与同组对象重复度最高。,
24,Cuboid Sugar Box with Imperial Emblem of Pseudo-Manchurian Orchid,伪满兰花御纹章长方型糖盒,,藏品·宫廷文物,object,日伪宫廷礼仪器物,3,7.0,8.0,6.0,7.0,8.0,0.0,8,10,10,9.000,7.450,,A,变,Core 7.450 落在 7.2–8.49,high,曾用于建国神庙落成宴会并带有伪满兰花御纹章，直接连接溥仪宫廷、建国神庙和伪满礼仪制度。,组内代表性最高，直接关联伪满宫廷建国神庙及溥仪宴请群臣，兼具地方政权与礼仪功能的独特性。,
