seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,V3旧tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
1,"Yin Yu Tang, Chinese Merchant House",荫余堂 清代徽州商人古宅,Yin Yu Tang Courtyard,Historic Wooden Architecture,node,海外迁建中国历史建筑,1,9,10,10,10,10,10,10,10,10,10.000,9.850,S,S,,Core 9.850，峰值 10.0，S-ness 3/3,medium,这是海外唯一整体迁建的清代徽州民居，兼具完整空间体验、徽商社会叙事和全馆最高的身份辨识度。,组内唯一且无可替代的海外整体迁建清代徽州民居，兼具典范品质、极高非重复性与全馆核心叙事补位价值。,三项均为真：荫余堂是全馆身份标志，海外唯一整体迁建的清代徽州民居；两小时仍应优先安排，错过明显可惜，失去会直接削弱 PEM 的辨识度。
2,"Nanban Byobu, Portuguese Trade Arrival Screen",南蛮屏风：葡萄牙商船到来六曲屏风,Japanese Art Gallery,Screen Painting,object,日本南蛮贸易屏风画,1,9,9,9,9,9,0,9.5,9.5,10,9.600,9.060,S,S,,Core 9.060，峰值 9.0，S-ness 3/3,medium,南蛮屏风以金地大幅图像记录早期欧日接触与贸易，是日本馆及本馆跨洋交流叙事的核心展品。,组内唯一对象，且为南蛮贸易屏风的典范性实物，在本馆日本艺术及跨洋贸易叙事中均具不可替代性。,兼具日本艺术核心性与亚洲外销、跨洋接触叙事价值；两小时仍应安排，错过明显可惜，失去会明显削弱 PEM 以海贸连接东亚的身份。
3,Hawaiian Kū War God Figure,夏威夷库战神木雕,Oceanic Art Gallery,Carved Wood Sculpture,object,夏威夷仪式木雕人像,1,9,9,9,9,10,0,10,10,10,10.000,9.250,S,S,,Core 9.250，峰值 10.0，S-ness 3/3,medium,这件大型库神木雕连接夏威夷宗教、王权与卡普制度，在PEM大洋洲收藏中兼具稀缺性、视觉焦点和解释力。,组内唯一对象，且为PEM大洋洲仪式木雕中兼具纪念碑尺度、宗教王权内涵与稀缺性的核心代表，几乎无重复项，并直接补足本馆海事贸易与太平洋文明叙事。,它是大洋洲收藏的重要仪式性锚点，并连接 PEM 的早期远洋贸易来源；两小时仍应安排，错过罕见的 Kū 实物明显可惜，失去会显著损伤本馆的大洋洲身份。
4,"Spilum, Pair Portraits of Captain Wheatland & Wife",斯波伦 惠特兰船长夫妇外销肖像,Asian Export Art Gallery,Oil on Canvas,object,中国外销肖像油画,2,8,9,6,7,9,0,9.5,9.5,9.5,9.500,8.100,S,A,变,Core 8.100 落在 7.2–8.49,medium,成对的史贝霖肖像把广州画师、西洋油画技法与塞勒姆船长贸易网络结合起来，是两大馆藏身份的交叉物证。,组内首位：成对且身份明确的惠特兰夫妇肖像兼具史贝霖代表性与中美海贸叙事的独特补位价值，明显高于单件商人肖像。,
5,"Fitz Henry Lane, Twilight on the Kennebec",菲茨·亨利·莱恩：肯尼贝克河暮色,American Art Gallery,Oil Painting,object,美国光亮主义海景油画,1,8,6,7,7,7,0,8.5,9,4.5,7.850,7.035,A,B,变,Core 7.035 落在 5.5–7.19,medium,莱恩是美国光亮主义的重要画家，本作质量突出且有新英格兰海运叙事，但美国绘画并非PEM最不可替代的身份核心。,组内唯一对象，作为PEM藏品中最具代表性的莱恩光亮主义海景，D取高；但美国绘画并非本馆核心身份，G中等偏低。,
6,"John Singleton Copley, Portrait of Sarah Erving Waldo",科普利：莎拉·欧文·沃尔多肖像,American Art Gallery,Oil Painting,object,美国殖民地肖像油画,1,9,6,7,7,7,0,9,8,5,7.900,7.240,A,A,,Core 7.240 落在 7.2–8.49,medium,科普利的殖民地肖像具有国家级艺术史地位，能说明精英身份与服饰文化，但同类顶级资源在波士顿等馆更集中。,组内唯一对象，作为科普利殖民地肖像的高品质代表，D偏高；但该类并非PEM身份核心，G中等。,
7,"Rush Figurehead, USS Frigate",rushing船头木雕人像,Maritime Gallery,Carved Wood Sculpture,object,美国早期海军船首像,1,8,9,10,10,9,0,9,10,10,9.500,9.150,S,S,,Core 9.150，峰值 10.0，S-ness 3/3,medium,纪念碑尺度的早期美国海军船首像同时承载国家海权、塞勒姆港史与海事馆的视觉核心。,组内唯一对象，且为大型、完整的美国早期海军船首像，兼具威廉·拉什传统与PEM海事身份的代表性，因此D取组内最高。,大型早期美国海军船首像集中承载塞勒姆海事传统、国家海权与海事馆叙事；两小时仍应安排，错过明显可惜，失去会明显削弱 PEM 的海事身份。
8,Chinese Export Mandarin Punch Bowl,中国外销纹章大潘趣碗,Maritime Gallery Captain Collectors,Porcelain,object,中国外销纹章瓷,1,7,10,7,8,9,0,9.5,9,10,9.450,8.445,A,A,,Core 8.445 落在 7.2–8.49,medium,器物本身属于大量生产的外销瓷，但与东印度海洋学会创始船长及PEM建馆源流相连，具有极高的机构身份价值。,组内唯一对象，且以大型纹章潘趣碗结合清代外销贸易与PEM创馆船长旧藏，代表性和叙事补位价值均居首。,
9,"Edo Jizō Bosatsu Wood Sculpture, 1279",1279年地藏菩萨木雕,Powerful Figures Gallery,Wood Gilded Lacquer Sculpture,object,日本镰仓佛教木雕,1,9,7,9,8,9,0,9,10,8,9.100,8.360,S,A,变,Core 8.360 落在 7.2–8.49,medium,带确切纪年的镰仓地藏大型金漆木雕稀有且现场效果强，能集中解释日本佛教信仰与木雕工艺。,组内唯一对象，无同类竞争者；其带确切纪年的镰仓时期纪念碑式日本佛教木雕具有高度典范性与不可替代性，并补足本馆东亚宗教艺术叙事。,
10,"Samuel McIntire, Gardner‑Pingree House architectural carvings",塞缪尔·麦金太尔 加德纳‑平格里宅木雕构件,Gardner‑Pingree Historic House,Wood Architectural Ornament,node,塞勒姆联邦风格原位建筑木雕,1,7,8,6,6,8,9,9,9,10,9.200,7.470,A,A,,Core 7.470 落在 7.2–8.49,medium,麦金太尔原位木雕构件必须结合加德纳—平格里宅观看，能把塞勒姆地方建筑、商人阶层品味与联邦风格联系起来。,本组唯一对象，且为麦金太尔原位成组保存的代表性木雕；虽非其作品孤例，但在塞勒姆联邦建筑与PEM地方身份叙事中不可替代。,
