# PEM 官网栏目页编目字段的中文译文
#
# key        —— 官网原文，去重键，须与 pem_official_data.py 里的抓取原文逐字一致
# zh / en    —— 两个语种的文本；en 即 key 本身
# confidence —— 官方 / AI / 存疑，只描述「译出来的那一半」
#
# 由 meta_fill_official_pem.py 增量补写，可直接手工编辑。
# **译名必须留在本文件**：set_meta 按 source_key 清空重写，只改数据库的话重跑就没了。
kind,key,zh,en,confidence
pem_official,'Ulu (breadfruit) wood,'Ulu（面包果树）木材,'Ulu (breadfruit) wood,AI
pem_official,1279,1279 年,1279,官方
pem_official,1500-1530,1500—1530 年,1500-1530,AI
pem_official,1500s,16 世纪早期,1500s,AI
pem_official,1500s-1600s,16—17 世纪,1500s-1600s,AI
pem_official,1550-1650,1550—1650 年,1550-1650,AI
pem_official,1570-1620,1570—1620 年,1570-1620,AI
pem_official,15th-early 16th century,15 世纪至 16 世纪早期,15th-early 16th century,AI
pem_official,1679,1679 年,1679,AI
pem_official,1690,1690 年,1690,AI
pem_official,1690-1710,1690—1710 年,1690-1710,AI
pem_official,1696,1696 年,1696,AI
pem_official,1700-1730,1700—1730 年,1700-1730,AI
pem_official,1700s,18 世纪早期,1700s,AI
pem_official,1710-15,1710—1715 年,1710-15,AI
pem_official,1710-50,1710—1750 年,1710-50,AI
pem_official,1736-1795,1736—1795 年,1736-1795,AI
pem_official,1740 or 1743,1740 年或 1743 年,1740 or 1743,AI
pem_official,1744,1744 年,1744,AI
pem_official,1748-76,1748—1776 年,1748-76,AI
pem_official,1750-95,1750—1795 年,1750-95,AI
pem_official,1760-70,1760—1770 年,1760-70,AI
pem_official,1763-68,1763—1768 年,1763-68,AI
pem_official,1764-1765,1764—1765 年,1764-1765,AI
pem_official,1766,1766 年,1766,AI
pem_official,1777,1777 年,1777,AI
pem_official,1783,1783 年,1783,AI
pem_official,1790,1790 年,1790,AI
pem_official,1791,1791 年,1791,AI
pem_official,1791-96,1791—1796 年,1791-96,AI
pem_official,1795-98,1795—1798 年,1795-98,AI
pem_official,17th-century Chinese and Japanese porcelain and Dutch delftware fragments,17 世纪中国和日本瓷器及荷兰代尔夫特陶器残片,17th-century Chinese and Japanese porcelain and Dutch delftware fragments,AI
pem_official,1800-1819,1800—1819 年,1800-1819,AI
pem_official,1800s,19 世纪早期,1800s,AI
pem_official,1802,1802 年,1802,AI
pem_official,1806,1806 年,1806,AI
pem_official,1807,1807 年,1807,AI
pem_official,1808,1808 年,1808,AI
pem_official,1817,1817 年,1817,AI
pem_official,1829,1829 年,1829,AI
pem_official,1830s or earlier,1830 年代或更早,1830s or earlier,AI
pem_official,1833,1833 年,1833,AI
pem_official,1835,1835 年,1835,AI
pem_official,1840,1840 年,1840,AI
pem_official,1840-60,1840—1860 年,1840-60,AI
pem_official,1843,1843 年,1843,AI
pem_official,1849,1849 年,1849,官方
pem_official,1850-68,1850—1868 年,1850-68,AI
pem_official,1851,1851 年,1851,AI
pem_official,1855-1865,1855—1865 年,1855-1865,AI
pem_official,1858,1858 年,1858,AI
pem_official,1860,1860 年,1860,AI
pem_official,1862,1862 年,1862,AI
pem_official,1863,1863 年,1863,AI
pem_official,1865,1865 年,1865,AI
pem_official,1872,1872 年,1872,AI
pem_official,1873,1873 年,1873,AI
pem_official,1880-89,1880—1889 年,1880-89,AI
pem_official,1880s-1890s,1880 年代至 1890 年代,1880s-1890s,AI
pem_official,1883,1883 年,1883,AI
pem_official,1885,1885 年,1885,AI
pem_official,1886,1886 年,1886,AI
