seq,名称EN,名称CN,展厅,类别,对象类型,同类组,组内件数,HS,IU,VI,VA,CE,ER,Q,D,G,CR,Core,原表tier,V3新tier,是否变化,判定说明,证据可信度,评分依据,CR理由,S-ness理由
1,,木门 Door（埃及，14–15 世纪，后有增补；乌木、阿勒颇松、阿布拉木、黄杨与象牙／骨）,"Level 1, Gallery 175 — Arts of Islamic Cultures 伊斯兰艺术展厅",,object,埃及伊斯兰木门,1,7,5.5,7,6.5,7,0,7.5,9,7.5,7.950,6.645,S,B,变,Core 6.645 落在 5.5–7.19,high,这是一件年代明确、材料精美且具有建馆理念象征意义的埃及伊斯兰门，但在MFA的核心身份板块中不可替代性有限。,组内唯一对象，兼具埃及伊斯兰木门的工艺代表性与MFA创始捐赠、建馆理念象征的独特身份，因此D取高分。,
2,,护佑神灵浮雕 Relief of a protective deity（伊拉克，公元前 883–859 年，石膏）,"Level 1, Gallery 110 — Ancient Near Eastern Art 古代近东艺术",,object,亚述宫殿浮雕,1,8.5,6.5,8.5,8,8.5,0,8.5,9,7.5,8.450,7.920,S,A,变,Core 7.920 落在 7.2–8.49,high,尼姆鲁德亚述宫殿浮雕具有重要考古与文明史价值，尺度和形象冲击力强，但古代近东并非MFA最具身份性的收藏板块。,组内唯一的亚述宫殿浮雕，兼具大型尼姆鲁德遗址出土背景与典型护佑神灵图像，在本馆同类叙事中代表性最高。,
3,,西一（Saichi）《圣观音菩萨立像》Shô Kannon（1269 年，鎏金铜、分范铸造）,"Level 2, Gallery 278B — Buddhist Art from Japan 日本佛教艺术",,object,日本佛教金铜造像,1,8.5,8.5,7,6.5,8.5,0,8.5,9.5,8.5,8.800,8.005,S,A,变,Core 8.005 落在 7.2–8.49,medium,1269年有明确纪年的镰仓鎏金铜观音像兼具日本佛教艺术史价值与稀有性，并处于MFA最具代表性的日本艺术收藏语境中。,组内唯一的日本佛教金铜造像，且为有明确纪年的镰仓时代鎏金铜观音像，在本馆日本艺术核心叙事中具有较高的代表性与补位价值。,
4,,《阿佛洛狄忒头像》（“巴特利特头像”）Head of Aphrodite（希腊，约公元前 330–200 年，帕罗斯大理石）,Level 2 — Upper Rotunda 上层圆厅,,object,古希腊大理石头像,1,8,6.5,7.5,7.5,7,0,8.5,9,7,8.350,7.360,S,A,变,Core 7.360 落在 7.2–8.49,medium,这件古希腊大理石阿佛洛狄忒头像属于馆内早期购藏希腊真品中的著名作品，兼具古典美感和MFA收藏史叙事价值。,组内唯一对象，作为馆内古希腊大理石头像的代表，兼具较高的古典雕塑品质与早期收藏史价值，但在MFA整体叙事中对非核心的古典地中海板块补位有限。,
5,,杰胡提纳赫特外棺侧板 Outer coffin of Djehutynakht（埃及，公元前 2010–1961 年，雪松木）,"Level 1, Gallery 119 — Egyptian Funerary Arts 埃及丧葬艺术",,object,古埃及棺椁与葬仪绘画,1,9,9,8.5,8.5,9,0,9.5,9.5,9.0,9.400,8.890,S,S,,Core 8.890，峰值 9.0，S-ness 3/3,high,杰胡提纳赫特墓葬出土的棺板具有明确考古语境，著名的“杰胡提纳赫特之脸”又使其成为MFA埃及艺术收藏中的标志性对象。,组内唯一对象，且以明确考古语境、杰出的棺绘艺术与葬仪图像代表古埃及棺椁绘画这一环节，因此在本组中品质与非重复性均居最高位。,S：著名的“杰胡提纳赫特之脸”使它远非普通棺板；两小时仍应安排，错过会明显遗憾，失去它也会削弱MFA埃及考古与中王国艺术的标志性。
6,,Claude Monet《Grainstack (Sunset)》干草堆（日落）（1891，布面油画）,"Level 2, Gallery 252 — Monet Gallery 莫奈展厅",,object,莫奈油画,13,9,8.5,8.5,9,8.5,0,9.5,9.0,9.5,9.350,8.760,S,S,,Core 8.760，峰值 9.0，S-ness 2/3,high,《干草堆》是莫奈最具典范性的系列之一，而MFA拥有巴黎之外的重要莫奈收藏并专设展厅，现场识别度和吸引力都很高。,组内代表性第二，仅次于《睡莲池》；《干草堆》系列是莫奈光色研究的典范，也是MFA莫奈收藏的重要支柱。,S：干草堆系列是MFA印象派收藏的重点，游客错过会明显可惜；但馆内有多件强有力的莫奈，少这一幅不会明显改写本馆身份。
7,,"Anthony van Dyck《Isabella, Lady de La Warr》（约 1638，布面油画）","Level 2, Gallery 250 — European Paintings and Hanoverian Silver 欧洲绘画与汉诺威银器",,object,欧洲巴洛克肖像油画,1,8,5.5,7.5,7,7,0,8.5,8.5,5.5,7.900,6.990,S,B,变,Core 6.990 落在 5.5–7.19,medium,范戴克及其贵族肖像在欧洲艺术史上地位很高，但该作缺少特别突出的馆藏身份叙事，在MFA更接近优秀的常规欧洲绘画。,组内唯一对象，作为凡·戴克成熟期欧洲巴洛克肖像的代表性作品，在本组中无同类重复；但该板块并非MFA最具身份性的核心收藏。,
8,,Samuel McIntire 双层柜 Chest-on-chest（1806–09，桃花心木、乌木与缎木镶嵌、松木）,"Level 1, Gallery 121D — Oak Hill Bedroom 橡树山卧室（时期房间）",,object,美国联邦时期家具,1,8,7.5,7.5,7,8,0,8.5,9,8.5,8.650,7.715,S,A,变,Core 7.715 落在 7.2–8.49,medium,麦金太尔制作的精美镶嵌家具代表新英格兰早期美国工艺，并在MFA美国艺术与时期房间展示体系中具有较强的代表性。,组内唯一对象，作为麦金太尔代表性家具并置于橡树山时期房间中，兼具美国联邦时期家具的典范性与本馆美国艺术叙事的补位价值。,
9,,元青花人物故事图罐 Wine jar with design from a popular drama（中国，14 世纪中期，景德镇窑釉下青花）,"Level 2, Gallery 275 — Chinese Ceramics 中国陶瓷展厅",,object,中国元代青花瓷,1,8.5,7.5,8,7.5,8.5,0,9.2,9.0,8.5,9.000,8.075,S,A,变,Core 8.075 落在 7.2–8.49,medium,元代戏曲人物故事青花罐属于存世稀少且叙事性鲜明的中国陶瓷类型，在MFA的重要中国艺术收藏中具有较强代表性。,组内唯一对象，且为存世稀少的元代青花人物故事大罐，在本馆同类中具有较强的代表性与不可替代性。,
10,,David Smith《Cubi XVIII》（1964，抛光不锈钢）,"Level 1, Gallery 165 — Contemporary Art 当代艺术",,object,美国战后抽象雕塑,1,9,8,9,8.5,8.5,0,9.5,9.5,8.5,9.300,8.630,S,A,变,Core 8.630 达标但 S-ness 仅 1/3 通过，降 A,high,《Cubi XVIII》属于大卫·史密斯《Cubi》系列这一美国战后雕塑的重要成果，抛光钢材的尺度与反光效果也带来很强的现场冲击。,组内唯一对象，作为大卫·史密斯《Cubi》系列的重要代表，兼具美国战后抽象雕塑的典范性与本馆当代艺术收藏形成史中的独特补位价值。,A：Cubi系列及其建馆史意义重要，错过会有遗憾；但在两小时路线中不如MFA的埃及、美国艺术和印象派核心作优先，且当代雕塑并非本馆最具辨识度的身份支柱。
