# 「X族第N件」模板中的族名词表：族名<TAB>英文
# 45 个族名覆盖 613 个原子实例。
七珍八宝	Seven Treasures and Eight Auspicious Emblems
三彩天王武士俑	sancai heavenly-king warrior figure
三彩马驼	sancai horse and camel
云龙纹碗组	cloud-and-dragon bowl set
五彩龙凤碗	wucai dragon-and-phoenix bowl
僧帽壶	monk's cap ewer
八旗盔甲	Eight Banners armour
十八罗汉组像	Eighteen Arhats group
印章石料	seal stone blank
厂官釉直颈瓶	factory-glaze straight-necked vase
御用箭矢	imperial arrow
御用马鞍	imperial saddle
德化白瓷造像	Dehua white porcelain image
思惟像	pensive bodhisattva
戒指	ring
挂屏	hanging screen
斗彩鸳鸯碗	doucai mandarin-duck bowl
无题记石造像	uninscribed stone image
杏圆贯耳瓶	apricot-round vase with tubular handles
松石绿地花鸟组	bird-and-flower design on turquoise ground
汉画像石	Han pictorial stone
汉画像砖	Han pictorial brick
汝窑盘	Ru ware dish
浇黄釉云龙碗	imperial-yellow cloud-and-dragon bowl
玉堂春瓶	Yutang spring vase
玉壶春瓶	yuhuchun vase
玉山子	jade mountain
珐琅彩器	falangcai vessel
琮式瓶	cong-form vase
盆景	tray landscape
秘色瓷	secret-colour ware
簪	hairpin
粉彩佛坐像	famille-rose seated Buddha
粉彩佛塔	famille-rose stupa
罗汉像	arhat figure
耳环	earring
花插	flower holder
观音像	Guanyin figure
转心瓶	revolving vase
钧窑花器	Jun ware flower vessel
铜造像	bronze image
陶俑	pottery tomb figure
陶动物	pottery animal
黄地粉彩梅鹊图组	famille-rose plum-and-magpie design on yellow ground
鼻烟壶	snuff bottle
