# 文化点位名称
#
# key        —— 原文，去重键，须与源 Excel 逐字一致，不要改
# zh / en    —— 两个语种的文本；原文那一侧已填好，另一侧待译
# confidence —— 官方 / AI / 存疑，只描述「译出来的那一半」
#                官方 = 通行的既定译名（Louvre = 卢浮宫）
#                AI   = 机器翻译，正常可用
#                存疑 = 拿不准，优先人工复核（grep 存疑 即可捞出）
#
# 本文件由 make_translation_skeleton.py 生成与增量更新，可直接手工编辑。
kind,key,zh,en,confidence
site_name,9/11 Memorial & Museum,9·11 纪念馆与博物馆,9/11 Memorial & Museum,官方
site_name,ABBA The Museum,ABBA 博物馆,ABBA The Museum,官方
site_name,ARoS Aarhus Art Museum,ARoS 奥胡斯美术馆,ARoS Aarhus Art Museum,官方
site_name,Acropolis Museum,卫城博物馆,Acropolis Museum,官方
site_name,Albertina,阿尔贝蒂娜博物馆,Albertina,官方
site_name,Alte Nationalgalerie,老国家美术馆,Alte Nationalgalerie,官方
site_name,Alte Pinakothek,老绘画陈列馆,Alte Pinakothek,官方
site_name,American Museum of Natural History,美国自然历史博物馆,American Museum of Natural History,官方
site_name,Andy Warhol Museum,安迪·沃霍尔博物馆,Andy Warhol Museum,官方
site_name,Anne Frank House,安妮·弗兰克之家,Anne Frank House,官方
site_name,Apartheid Museum,种族隔离博物馆,Apartheid Museum,官方
site_name,Art Gallery of New South Wales,新南威尔士美术馆,Art Gallery of New South Wales,官方
site_name,Art Gallery of Ontario,安大略美术馆,Art Gallery of Ontario,官方
site_name,Art Institute of Chicago,芝加哥艺术博物馆,Art Institute of Chicago,官方
site_name,Ashmolean Museum,阿什莫林博物馆,Ashmolean Museum,官方
site_name,Asian Art Museum,亚洲艺术博物馆,Asian Art Museum,官方
site_name,Asian Civilisations Museum,亚洲文明博物馆,Asian Civilisations Museum,官方
site_name,Ateneum,阿黛浓美术馆,Ateneum,官方
site_name,Auckland Art Gallery,奥克兰美术馆,Auckland Art Gallery,官方
site_name,Bardo National Museum,巴尔多国家博物馆,Bardo National Museum,官方
site_name,Barnes Foundation,巴恩斯基金会,Barnes Foundation,官方
site_name,Bauhaus-Archiv / Museum für Gestaltung,包豪斯档案馆／设计博物馆,Bauhaus-Archiv / Museum für Gestaltung,官方
site_name,Beatles Story,披头士故事馆,Beatles Story,AI
site_name,Bode Museum,博德博物馆,Bode Museum,官方
site_name,Boijmans Van Beuningen,博伊曼斯·范伯宁恩美术馆,Boijmans Van Beuningen,官方
site_name,British Museum,大英博物馆,British Museum,官方
site_name,Brooklyn Museum,布鲁克林博物馆,Brooklyn Museum,官方
site_name,Burrell Collection,布雷尔收藏馆,Burrell Collection,官方
site_name,CaixaForum Madrid,马德里 CaixaForum 艺术中心,CaixaForum Madrid,AI
site_name,California Academy of Sciences,加州科学院,California Academy of Sciences,官方
site_name,Calouste Gulbenkian Museum,卡洛斯特·古尔本基安博物馆,Calouste Gulbenkian Museum,官方
site_name,Capitoline Museums,卡比托利欧博物馆,Capitoline Museums,官方
site_name,Carnegie Museum of Art,卡内基美术馆,Carnegie Museum of Art,官方
site_name,Centro Cultural Banco do Brasil,巴西银行文化中心,Centro Cultural Banco do Brasil,官方
site_name,Chihuly Garden and Glass,奇胡利玻璃艺术园,Chihuly Garden and Glass,AI
site_name,Churchill War Rooms,丘吉尔战时指挥部,Churchill War Rooms,官方
site_name,Cité des Sciences et de l'Industrie,巴黎科学与工业城,Cité des Sciences et de l'Industrie,官方
site_name,Cleveland Museum of Art,克利夫兰艺术博物馆,Cleveland Museum of Art,官方
site_name,DDR Museum,民主德国博物馆,DDR Museum,官方
site_name,Dalí Theatre-Museum,达利戏剧博物馆,Dalí Theatre-Museum,官方
site_name,Detroit Institute of Arts,底特律美术馆,Detroit Institute of Arts,官方
site_name,Deutsches Museum,德意志博物馆,Deutsches Museum,官方
site_name,Doge's Palace,总督宫,Doge's Palace,官方
site_name,Donald W. Reynolds Center,唐纳德·W·雷诺兹中心,Donald W. Reynolds Center,AI
site_name,EMP / MoPOP – Museum of Pop Culture,流行文化博物馆（MoPOP）,EMP / MoPOP – Museum of Pop Culture,官方
site_name,Edo-Tokyo Museum / Edo-Tokyo Open Air Architectural Museum,江户东京博物馆／江户东京建筑园,Edo-Tokyo Museum / Edo-Tokyo Open Air Architectural Museum,官方
site_name,Egyptian Museum,埃及博物馆,Egyptian Museum,官方
site_name,Etihad Museum,联邦博物馆,Etihad Museum,AI
site_name,Exploratorium,探索馆,Exploratorium,官方
site_name,Field Museum of Natural History,菲尔德自然史博物馆,Field Museum of Natural History,官方
site_name,Fitzwilliam Museum,菲茨威廉博物馆,Fitzwilliam Museum,官方
site_name,Frans Hals Museum,弗兰斯·哈尔斯博物馆,Frans Hals Museum,官方
site_name,Frederik Meijer Gardens & Sculpture Park,弗雷德里克·梅耶尔花园与雕塑公园,Frederik Meijer Gardens & Sculpture Park,AI
site_name,Frick Collection,弗里克收藏馆,Frick Collection,官方
site_name,Frida Kahlo Museum (Casa Azul),弗里达·卡罗博物馆（蓝屋）,Frida Kahlo Museum (Casa Azul),官方
site_name,GES-2 (Moscow),GES-2 文化中心（莫斯科）,GES-2 (Moscow),AI
site_name,Galleria dell'Accademia,学院美术馆,Galleria dell'Accademia,官方
site_name,Getty Center,盖蒂中心,Getty Center,官方
site_name,Glasgow School of Art / Mackintosh,格拉斯哥艺术学院／麦金托什楼,Glasgow School of Art / Mackintosh,AI
site_name,Glyptothek,古代雕塑展览馆,Glyptothek,官方
site_name,Grand Egyptian Museum,大埃及博物馆,Grand Egyptian Museum,官方
site_name,Guggenheim Museum Bilbao,毕尔巴鄂古根海姆博物馆,Guggenheim Museum Bilbao,官方
site_name,Gyeongju National Museum,庆州国立博物馆,Gyeongju National Museum,官方
site_name,Hagia Eirene & Istanbul Archaeology Museums,圣伊莲娜教堂与伊斯坦布尔考古博物馆,Hagia Eirene & Istanbul Archaeology Museums,AI
site_name,Hagia Sophia Grand Mosque & Museum,圣索菲亚大清真寺与博物馆,Hagia Sophia Grand Mosque & Museum,官方
site_name,Hiroshima Peace Memorial Museum,广岛和平纪念资料馆,Hiroshima Peace Memorial Museum,官方
site_name,Hong Kong Heritage Museum,香港文化博物馆,Hong Kong Heritage Museum,官方
site_name,Hong Kong Museum of Art,香港艺术馆,Hong Kong Museum of Art,官方
site_name,Hong Kong Palace Museum,香港故宫文化博物馆,Hong Kong Palace Museum,官方
site_name,"Huntington Library, Art Museum and Botanical Gardens",亨廷顿图书馆、艺术博物馆与植物园,"Huntington Library, Art Museum and Botanical Gardens",官方
site_name,Imperial War Museum,帝国战争博物馆,Imperial War Museum,官方
site_name,Israel Museum,以色列博物馆,Israel Museum,官方
site_name,Istanbul Modern,伊斯坦布尔现代艺术博物馆,Istanbul Modern,官方
site_name,Iziko South African Museum,伊齐科南非博物馆,Iziko South African Museum,AI
site_name,J. Paul Getty Museum (Getty Center),J·保罗·盖蒂博物馆（盖蒂中心）,J. Paul Getty Museum (Getty Center),官方
site_name,Jewish Museum Berlin,柏林犹太博物馆,Jewish Museum Berlin,官方
site_name,Joan Miró Foundation,胡安·米罗基金会,Joan Miró Foundation,官方
site_name,Kelvingrove Art Gallery and Museum,凯尔文格罗夫美术馆与博物馆,Kelvingrove Art Gallery and Museum,官方
site_name,Kiasma Museum of Contemporary Art,奇亚斯玛当代艺术博物馆,Kiasma Museum of Contemporary Art,官方
site_name,Kunsthistorisches Museum,艺术史博物馆,Kunsthistorisches Museum,官方
site_name,Kyoto National Museum,京都国立博物馆,Kyoto National Museum,官方
site_name,Lenbachhaus,伦巴赫美术馆,Lenbachhaus,官方
site_name,Los Angeles County Museum of Art,洛杉矶郡立美术馆,Los Angeles County Museum of Art,官方
site_name,Louis Vuitton Foundation,路易威登基金会,Louis Vuitton Foundation,官方
site_name,Louisiana Museum of Modern Art,路易斯安那现代艺术博物馆,Louisiana Museum of Modern Art,官方
site_name,Louvre,卢浮宫,Louvre,官方
site_name,Louvre Abu Dhabi,阿布扎比卢浮宫,Louvre Abu Dhabi,官方
site_name,M+,M+ 视觉文化博物馆,M+,官方
site_name,MALBA – Museo de Arte Latinoamericano de Buenos Aires,MALBA 布宜诺斯艾利斯拉丁美洲艺术博物馆,MALBA – Museo de Arte Latinoamericano de Buenos Aires,官方
site_name,MAXXI – National Museum of 21st Century Arts,MAXXI 二十一世纪国立当代艺术馆,MAXXI – National Museum of 21st Century Arts,官方
site_name,MUDAM – Musée d'Art Moderne Grand-Duc Jean,MUDAM 让大公现代艺术博物馆,MUDAM – Musée d'Art Moderne Grand-Duc Jean,官方
site_name,MUSE – Museo delle Scienze,MUSE 科学博物馆,MUSE – Museo delle Scienze,官方
site_name,Mauritshuis,莫瑞泰斯皇家美术馆,Mauritshuis,官方
site_name,Memorial and Museum Auschwitz-Birkenau,奥斯威辛-比克瑙纪念馆与博物馆,Memorial and Museum Auschwitz-Birkenau,官方
site_name,Menil Collection,梅尼尔收藏馆,Menil Collection,官方
site_name,Metropolitan Museum of Art,大都会艺术博物馆,Metropolitan Museum of Art,官方
site_name,MoMA PS1,MoMA PS1 当代艺术中心,MoMA PS1,官方
