# 故宫评级理由的原子短语词表：原子<TAB>英文
# 由 translate_reasons.py 读取，拼回完整理由。改这里等于改全部含该原子的理由。
常规展品	Standard exhibit
无题记的常见造像/俑	Common statue or tomb figure without inscription
汉代画像石/砖	Han dynasty pictorial stone or brick
带造像题记	Bears a dedicatory inscription
成组造像中的单件	Single piece from a group of statues
盆景（馆内三十余件同族）	Tray landscape (over thirty of the same family in the museum)
唐三彩	Tang sancai
佛前成套供器	Complete set of Buddhist altar vessels
石湾窑陶塑	Shiwan ware ceramic sculpture
小件首饰（同族密集）	Small jewellery item (dense family of similar pieces)
德化窑白瓷	Dehua ware white porcelain
金玉嵌宝	Gold and jade inlaid with gems
仿古礼器造型	Archaistic ritual vessel form
斗彩	Doucai
鼻烟壶（馆内十件同族）	Snuff bottle (ten of the same family in the museum)
八旗盔甲成套	Complete set of Eight Banners armour
点翠	Kingfisher-feather inlay
瓷枕	Porcelain pillow
镂雕	Openwork carving
堆塑/塑贴	Applied relief modelling
地方名窑标本	Specimen of a notable regional kiln
外销纹章瓷	Export armorial porcelain
带款识或铭文	Bears a reign mark or inscription
汝窑淡天青釉盘（同型）	Ru ware pale sky-blue glazed dish (same type)
釉里红（烧成难度高）	Underglaze red (very difficult to fire)
高温铜红釉	High-fired copper-red glaze
唐代白瓷名窑	Notable Tang dynasty white-porcelain kiln
成对/成套件	Part of a pair or set
磁州窑白地黑花	Cizhou ware black-on-white decoration
金银累丝	Gold and silver filigree
钧窑花盆托（同族）	Jun ware flowerpot stand (same family)
龙泉窑青瓷	Longquan ware celadon
剔划花	Carved and incised decoration
定窑（宋五大名窑）	Ding ware (one of the Five Great Kilns of the Song)
宜兴紫砂	Yixing zisha stoneware
新石器彩陶	Neolithic painted pottery
未加工宝石标本	Unworked gemstone specimen
珍珠地划花	Incised decoration on a pearl ground
素三彩	Susancai
绞胎	Marbled body
耀州窑刻印花青瓷	Yaozhou ware carved and moulded celadon
越窑青瓷	Yue ware celadon
