# 城市名与国家名
#
# key        —— 原文，去重键，须与源 Excel 逐字一致，不要改
# zh / en    —— 两个语种的文本；原文那一侧已填好，另一侧待译
# confidence —— 官方 / AI / 存疑，只描述「译出来的那一半」
#                官方 = 通行的既定译名（Louvre = 卢浮宫）
#                AI   = 机器翻译，正常可用
#                存疑 = 拿不准，优先人工复核（grep 存疑 即可捞出）
#
# 本文件由 make_translation_skeleton.py 生成与增量更新，可直接手工编辑。
kind,key,zh,en,confidence
city_name,万象,万象,Vientiane,官方
city_name,上海,上海,Shanghai,官方
city_name,东京,东京,Tokyo,官方
city_name,临汾,临汾,Linfen,官方
city_name,丹布勒,丹布勒,Dambulla,官方
city_name,丽江,丽江,Lijiang,官方
city_name,乌代布尔,乌代布尔,Udaipur,官方
city_name,乌兰巴托,乌兰巴托,Ulaanbaatar,官方
city_name,乌鲁木齐,乌鲁木齐,Urumqi,官方
city_name,乔治市,乔治市,George Town,官方
city_name,亚兹德,亚兹德,Yazd,官方
city_name,亚历山大,亚历山大,Alexandria,官方
city_name,亚琛,亚琛,Aachen,官方
city_name,亚的斯亚贝巴,亚的斯亚贝巴,Addis Ababa,官方
city_name,京都,京都,Kyoto,官方
city_name,仓敷,仓敷,Kurashiki,官方
city_name,仰光,仰光,Yangon,官方
city_name,伊拉克利翁,伊拉克利翁,Heraklion,官方
city_name,伊斯坦布尔,伊斯坦布尔,Istanbul,官方
city_name,伊斯法罕,伊斯法罕,Isfahan,官方
city_name,休斯顿,休斯顿,Houston,官方
city_name,会安,会安,Hoi An,官方
city_name,伦敦,伦敦,London,官方
city_name,伯利恒,伯利恒,Bethlehem,官方
city_name,伯尔尼,伯尔尼,Bern,官方
city_name,佛罗伦萨,佛罗伦萨,Florence,官方
city_name,克利夫兰,克利夫兰,Cleveland,官方
city_name,克拉科夫,克拉科夫,Kraków,官方
city_name,克鲁姆洛夫,克鲁姆洛夫,Český Krumlov,官方
city_name,全州,全州,Jeonju,官方
city_name,公州,公州,Gongju,官方
city_name,兰州,兰州,Lanzhou,官方
city_name,兰斯,兰斯,Reims,官方
city_name,内罗毕,内罗毕,Nairobi,官方
city_name,凡尔赛,凡尔赛,Versailles,官方
city_name,凯撒利亚,凯撒利亚,Caesarea,官方
city_name,凯鲁万,凯鲁万,Kairouan,官方
city_name,利沃夫,利沃夫,Lviv,官方
city_name,利物浦,利物浦,Liverpool,官方
city_name,利雅得,利雅得,Riyadh,官方
city_name,利马,利马,Lima,官方
city_name,剑桥,剑桥,Cambridge,官方
city_name,加尔各答,加尔各答,Kolkata,官方
city_name,加德满都,加德满都,Kathmandu,官方
