seq,名称EN,名称CN,当前Tier,Core,完备度,Tier可信度,潜在区间,研究优先级,需复核,复核原因,去推断后仍成立,最关键缺失证据,建议研究问题,缺失证据全部,12项判定
1,"Yin Yu Tang, Chinese Merchant House",荫余堂 清代徽州商人古宅,S,9.467,52.0,low,C–S,4.80,是,当前 S 主要依赖未经核实的全球唯一性、馆内核心地位及迁建完整性判断，需补 PEM 官方资料与迁建工程档案。,否,缺PEM官方或迁建工程报告对海外唯一性及馆内核心地位的明确说明,PEM的荫余堂迁建工程报告是否记载原址村名、始建与重修年代、原构件比例及海外唯一性的比较依据？,缺PEM官方或迁建工程报告对海外唯一性及馆内核心地位的明确说明；缺原址村名、始建与重修年代及黄氏家族使用史；缺出让、审批、拆运与复原过程的原始法律及工程档案；缺平面测绘、构件清单及原构件与复原构件比例,basic_identification=full date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=partial
2,"Nanban Byobu, Portuguese Trade Arrival Screen",南蛮屏风：葡萄牙商船到来六曲屏风,S,9.215,55.2,low,B–S,4.48,是,基础对象信息可靠，但当前 S 所需的画史地位、稀缺性、馆内首位性和 S-ness 几乎全部来自未核实判断。,否,缺学术图录对E200727确切年代、画派归属及南蛮画史地位的论证,PEM馆号E200727是否见于南蛮屏风专题图录，其画派、确切年代及与美国主要馆藏同类作品的比较结论是什么？,缺学术图录对E200727确切年代、画派归属及南蛮画史地位的论证；缺1994年购藏前的完整递藏记录和原收藏地；缺尺寸、各扇保存状况及金箔与颜料的技术检测资料；缺PEM官方对其日本收藏代表性及馆内展陈地位的说明；缺与美国及日本主要馆藏南蛮屏风的数量和质量比较,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
3,Hawaiian Kū War God Figure,夏威夷库战神木雕,S,9.287,55.2,low,B–S,4.48,是,当前 S 不仅依赖未经比较研究支撑的顶级与稀缺性判断，简介还存在已由官方资料否定的“前接触期”事实错误。,否,缺本件在全球夏威夷库神像存世谱系中的数量与质量比较,PEM馆号E12071在夏威夷库神像专题研究中如何断代和排序，John T. Prince的1846年捐赠档案又如何记录其此前来源？,缺本件在全球夏威夷库神像存世谱系中的数量与质量比较；缺John T. Prince在1846年捐赠前取得该像的地点、时间与方式；缺精确断代依据及1825年具体年份的原始出处；缺尺寸、保存状况、修复记录及木材检测报告；缺与夏威夷原住民社群协商、文化照护或归还诉求的记录,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
4,"Spilum, Pair Portraits of Captain Wheatland & Wife",斯波伦 惠特兰船长夫妇外销肖像,S,8.535,45.0,low,C–S,5.50,是,当前 S 几乎完全建立在未核实的归属、名主身份、里程碑地位、稀缺性与机构核心性之上，且缺少最基本的官方对象记录。,否,缺PEM馆号、官方对象记录或学术图录以确认这对肖像的准确身份,PEM或中国外销画图录中是否著录史贝霖所绘惠特兰船长夫妇像，其馆号、年代、被绘者全名和入藏链分别是什么？,缺PEM馆号、官方对象记录或学术图录以确认这对肖像的准确身份；缺史贝霖归属、确切创作年代及广州画室来源的技术或文献依据；缺惠特兰船长及其妻子的全名、生卒和广州贸易行程档案；缺委托、家族递藏、入藏年份及捐赠人记录；缺尺寸、保存状况、原框及两幅是否原始配对的证据；缺史贝霖作品目录及同类有名主肖像的存世数量比较,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=none visual_experiential=partial relational_spatial=partial
5,"Fitz Henry Lane, Twilight on the Kennebec",菲茨·亨利·莱恩：肯尼贝克河暮色,A,8.620,55.2,low,B–A,3.04,是,对象身份与断代可靠，但当前 A 所依赖的“馆藏最佳”、成熟期重要作品和组内首位判断缺少外部评价或比较研究。,否,缺Fitz Henry Lane Online作品目录对inv. 258创作生涯位置与质量的评述,Fitz Henry Lane Online的inv. 258如何评价PEM馆号M22672在莱恩1849年前后作品中的位置，并列出哪些展览与出版记录？,缺Fitz Henry Lane Online作品目录对inv. 258创作生涯位置与质量的评述；缺PEM官方对其为馆藏最佳莱恩海景或美国绘画代表作的说明；缺与Cape Ann、波士顿及其他馆藏莱恩成熟期海景的比较；缺尺寸、保存状况及画框是否原配的资料；缺2014年捐赠前的完整递藏记录,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
6,"John Singleton Copley, Portrait of Sarah Erving Waldo",科普利：莎拉·欧文·沃尔多肖像,A,8.135,55.2,low,B–A,2.38,是,基础编目事实可靠，但当前 A 所需的杰作地位、组内首位性和机构代表性均依赖未经外部资料验证的判断。,否,缺科普利作品目录对M12561归属、年代与创作生涯位置的著录,科普利作品目录如何著录PEM馆号M12561，其被绘者身份、创作年代、递藏史及在殖民地时期肖像中的位置是什么？,缺科普利作品目录对M12561归属、年代与创作生涯位置的著录；缺Sarah Erving Waldo的确切身份、生卒、家族关系及委托背景；缺尺寸、保存状况、修复史及原框资料；缺1976年捐赠前的家族递藏和交易记录；缺与PEM及波士顿MFA科普利肖像的质量和机构地位比较,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
7,"Rush Figurehead, USS Frigate",rushing船头木雕人像,S,8.960,51.5,low,B–S,4.85,是,需核实正式题名、雕刻形象、原属舰名、尺寸、拉什归属依据及与M27185的区别；当前S级核心论据大多仍是未验证推断。,否,缺M27741的正式题名、雕刻形象、原属舰名及该舰服役档案,PEM的M27741档案记载了哪艘军舰、何种人物形象和哪些拉什归属证据，它与M27185是否为两件明确不同的船首像？,缺M27741的正式题名、雕刻形象、原属舰名及该舰服役档案；缺归属威廉·拉什的款识、账簿、合同或风格比较依据；缺M27741与Female Figurehead M27185的图像和档案对照；缺尺寸、彩绘层检测、修复记录及当前展陈图像；缺脱离原舰至博物馆购藏之间的递藏链和购藏年份；缺美国约1800年前后大型船首像的存世数量与质量比较,basic_identification=partial date_period=full maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=partial
8,Chinese Export Mandarin Punch Bowl,中国外销纹章大潘趣碗,S,8.559,48.4,low,C–S,5.16,是,对象尚缺PEM馆号、官方题名、照片和目录记录，且决定当前S级的创始船长来源与“建馆信物”身份没有外部证据。,否,缺东印度海洋学会创始船长携回并原始入藏该碗的档案证据,东印度海洋学会1799年前后的入藏簿中，哪位创始船长登记了这件潘趣碗，其馆号、航次、纹章和入藏日期分别是什么？,缺东印度海洋学会创始船长携回并原始入藏该碗的档案证据；缺PEM馆号、官方题名、藏品照片及目录记录；缺具体船长姓名、航次、携回地点及入藏年份；缺确切年代、瓷胎与彩绘技术、尺寸及保存状况；缺纹章或人物纹饰的辨识及其委托家族资料；缺PEM官方将其界定为建馆信物及外销瓷代表作的说明,basic_identification=partial date_period=none maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
9,"Edo Jizō Bosatsu Wood Sculpture, 1279",1279年地藏菩萨木雕,A,8.597,55.2,low,B–S,4.48,是,英文名称称“Edo”却标1279年，存在江户与镰仓时代矛盾；还需纪年铭文、尺寸、原装表面检测、寺院来源、递藏链与跨馆比较。,否,缺1279年纪年的铭文全文、位置、释读及技术检测报告,PEM馆号E12068.1AB-.4AB的保存或研究报告如何释读1279年铭文、判断金漆原装性，并追溯Charles Goddard Weld捐赠前的寺院来源？,缺1279年纪年的铭文全文、位置、释读及技术检测报告；缺金箔与漆层是否原装的保存科学和修复报告；缺原属寺院、离寺时间、输出日本及1909年前递藏经过；缺尺寸、保存状况、后配部件及修复比例；缺与美国及日本带纪年镰仓地藏造像的数量和质量比较；缺PEM官方对其日本艺术板块代表地位的说明,basic_identification=full date_period=full maker_culture=full historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=na
10,"Samuel McIntire, Gardner‑Pingree House architectural carvings",塞缪尔·麦金太尔 加德纳‑平格里宅木雕构件,A,8.435,50.0,low,C–S,5.00,是,当前评级对象边界不明，缺构件清单、馆号、原位位置、作者档案和原作状态记录，且将构件与整座宅邸的价值混合使用。,否,缺评级对象所含构件的逐件清单、馆号与原位位置,PEM或加德纳-平格里宅的建筑调查报告列出了哪些麦金太尔木雕构件、原位位置和作者档案，并如何区分原作与后期替换件？,缺评级对象所含构件的逐件清单、馆号与原位位置；缺证明麦金太尔本人或其工作室设计雕刻的账簿、合同或图纸；缺各构件原作、后配、复制或修复状态的建筑考古记录；缺宅内门窗、壁炉和檐口关系的测绘图与现场影像；缺与塞勒姆其他麦金太尔原位木雕系统的完整性比较；缺PEM对木雕构件与加德纳-平格里宅评级边界的对象定义,basic_identification=partial date_period=partial maker_culture=partial historical_significance=partial artistic_significance=partial rarity_uniqueness=partial institutional_identity=partial category_representativeness=partial cultural_educational=partial provenance_acquisition=partial visual_experiential=partial relational_spatial=partial
